createdAt,location,following,followers,totaltweets,retweetcount,text
2020-04-14 20:34:05,"Orlando, FL",11,0,5,0,"@jimcramer How about $PANDEMIC:
Pepsi, Amazon, Nvidia, Domino's, Electronic Arts, Microsoft, Intel and Costco?
#MadTweets $PEP $AMZN $NVDA $DPZ $EA $MSFT $INTC $COST"
2020-04-14 20:30:30,USA,18176,21292,54706,1,Lyft Stock Is the Wrong Ride-Share Investment -- my article for @investorplace https://t.co/ZRf6q1s2Q0 $LYFT $UBER $SPY $QQQ $DJIA $DIA #stockmarket #investing #finance #stocks #gold #silver $SLV $TWTR $GLD $AAPL $TSLA $AMZN $NFLX $AMD $INTC #economy
2020-04-14 20:30:00,"1 Campus Martius, Detroit, MI",999,82305,150015,0,"Webcam, Computer Accessory Demand Booms As Workers Telecommute During Coronavirus Pandemic $LOGI $DELL $HPQ $SNE $INTC $AMZN https://t.co/rzjxmYCzSK"
2020-04-14 20:05:02,"California, USA",5185,4791,29307,0,"Top #moneyflow for #nasdaq today
$SBUX $ORCL $CMCSA $CTSH $FLEX $INTC $ATVI $FAST $ROST $EBAY ...
https://t.co/S59zN0R1wP"
2020-04-14 20:04:07,United States,9,3117,1084,0,"$AMD $INTC $DELL $HPE $MSFT $VMW:

AMD Up Sharply After Launching New Server CPUs Aimed at Enterprises:

https://t.co/nsUT4nrgR5"
2020-04-14 19:58:37,United States,264,449,7986,0,"$KT increases #internet speed for school and #school district internet expansion

https://t.co/wMMhyqYEsh

$AAPL $AMZN $BA $CMCSA $FB $GOOG $INTC $MSFT $NFLX $NVDA $S $T $TMUS $TSLA $VZ $WMT $XOM #wallstreet #stockmarket #stocks #valueinvesting #money #finance #investors https://t.co/mVUvEbbfiD"
2020-04-14 19:53:02,,214,19,964,10,"RT @MarcoDaCostaFX: #WallStreet 🇺🇸 Most important confirmed #earnings dates for April: 

$CHWY $WBA $NFLX $KMX $STZ $BAC $LW $JPM $F $INTC…"
2020-04-14 19:50:10,"Winnipeg, Manitoba",1,3604,183440,0,$INTC Intel Recognized as a 2020 Top Global Champion for Supplier Diversity and Inclusion https://t.co/MkEzWMGYWn
2020-04-14 19:48:27,,1200,963,305867,8,"RT @GoingGreenPicks: $NGTF, Huge snack food company in the making. Last trade .20. Low float. See you at 1.00 imo. NEWSLETTER: https://t.co…"
2020-04-14 19:48:22,"Beijing, China ",3461,7413,17,0,"$NIO  Mexico City S5 Round 4 Highlights https://t.co/ZEFASZeUa5 $TMUS $S $T $VZ 
$INTC $QCOM"
2020-04-14 19:48:16,United States,264,449,7986,0,"$KT #exports #5G service to #Taiwan... #VR signed 'Untapped' #business agreement

https://t.co/fMRTGnyadQ

$AAPL $AMZN $BA $CMCSA $FB $GOOG $INTC $MSFT $NFLX $NVDA $S $T $TMUS $TSLA $VZ $WMT $XOM #wallstreet #stockmarket #stocks #valueinvesting #money #finance #investors https://t.co/eNhvJ3sdfQ"
2020-04-14 19:47:56,,1200,963,305867,7,"RT @GoingGreenPicks: $AMZN, MIST READ ARTICLE FOR SHORTS AND LONGS: https://t.co/herAvAXx8k $GRNF $GE $BBY $CGC $NFLX $FB $GM $LUV $UAL $MT…"
2020-04-14 19:46:14,,1200,963,305867,2,RT @GoingGreenPicks: @InvestwithPal FOR HOT $GOLD STOCKS GO TO THIS SITE: https://t.co/kQJ0tLqbwx $GRNF $GGSM $ELYGF $LUV $UAL $KBH $LEN $M…
2020-04-14 19:45:22,,163,213,7075,0,"Earnings summary of #Intel #INTC $INTC 
https://t.co/XifrrfYAaH"
2020-04-14 19:45:10,,163,213,7075,0,"Current NASDAQ 100 Earnings Estimates: $INTU $WDC $WDAY $INTC $EBAY 
https://t.co/x6aczc5GQf https://t.co/c3BvoQcqeU"
2020-04-14 19:32:53,United States,264,449,7986,0,"$KT signs business agreement with #Doosan Fuel Cell in fuel cell #business

https://t.co/WBI8FlqDCz

$AAPL $AMZN $BA $CMCSA $FB $GOOG $INTC $MSFT $NFLX $NVDA $S $T $TMUS $TSLA $VZ $WMT $XOM #wallstreet #stockmarket #stocks #valueinvesting #money #finance #investors #investing https://t.co/3Jr6cWP7Gf"
2020-04-14 19:22:41,,29,802,212417,5,"RT @GoingGreenPicks: $NGTF, Easy runner to 5.00 imo. Read this Newsletter:https://t.co/CDbgPPqWKc $GRNF $KBH $ACB $LUV $UAL $TLRS $ELYGF $E…"
2020-04-14 19:12:33,"Vienna, Va.",833,2472,5690,0,Data Center Chipmakers Surge As Cloud Computing Use Rises https://t.co/CHslFnW53J $NVDA $INTC $IPHI $AMD
2020-04-14 18:59:11,,258,95,1013,0,"Truest Tweet Today

$aapl $amzn $agn $brk $bhc $ba $cat $f $ge $gm $hlf $iep $crm $cmg $googl $jnj $wfc $bac $ms $gs $jpm $c $cs $msft $nflx $fb $twtr $tst $qsr $hd $tsla $yelp $grub $ko $ibm $pep $mnst $cat $unh $pypl $sq $mcd $intc $ https://t.co/T9AVivsUCE"
