createdAt,location,following,followers,totaltweets,retweetcount,text
2020-04-15 05:34:12,"La Porte, TX",447,201,5353,0,"So much noise in #Oil
$XOM $OXY $MGY $MRO $BP $TOT $EQNR $CVX https://t.co/PsiOcbPUvS"
2020-04-15 04:58:01,"New York, NY",254,11488,107941,4,"RT @JustinPulitzer: 💥Mid-Week Review VIDEO 4/15: https://t.co/ArJDdYHGVy

$VIX $VVIX $ES_F $SPY $UUP $CL_F $XOM $CVX $TLT $HYG $MUB $GLD $N…"
2020-04-15 04:56:12,"Davao City, Philippines",42,241,12407,4,"RT @JustinPulitzer: 💥Mid-Week Review VIDEO 4/15: https://t.co/ArJDdYHGVy

$VIX $VVIX $ES_F $SPY $UUP $CL_F $XOM $CVX $TLT $HYG $MUB $GLD $N…"
2020-04-15 04:26:55,"New York, NY",25,206,1704,4,"RT @JustinPulitzer: 💥Mid-Week Review VIDEO 4/15: https://t.co/ArJDdYHGVy

$VIX $VVIX $ES_F $SPY $UUP $CL_F $XOM $CVX $TLT $HYG $MUB $GLD $N…"
2020-04-15 04:26:47,"New York, NY",2,398,347,4,"RT @JustinPulitzer: 💥Mid-Week Review VIDEO 4/15: https://t.co/ArJDdYHGVy

$VIX $VVIX $ES_F $SPY $UUP $CL_F $XOM $CVX $TLT $HYG $MUB $GLD $N…"
2020-04-15 04:18:03,,140701,136730,2011731,1,"RT @getvolatility: Cheap put options and hedges: $AAPL puts cheaper than 83% of history, $LULU 83%, $PG 83%, $GOOG 83%, $ADBE 83%, $CCL 83%…"
2020-04-15 03:57:31,"New York, NY",254,11488,107941,4,"💥Mid-Week Review VIDEO 4/15: https://t.co/ArJDdYHGVy

$VIX $VVIX $ES_F $SPY $UUP $CL_F $XOM $CVX $TLT $HYG $MUB $GLD $NEM $DIA $IYT $CSX $JBHT $BA $JNJ $PG $WMT $NKE $HD $W $SMH $MSFT $AMZN $AAPL $NFLX $ROKU $DIS $FB $GOOGL $TSLA $BKNG $EXPE"
2020-04-15 02:39:49,,304,3863,6395,1,"Cheap put options and hedges: $AAPL puts cheaper than 83% of history, $LULU 83%, $PG 83%, $GOOG 83%, $ADBE 83%, $CCL 83%, $CVX 83%"
2020-04-15 01:17:58,United States,1823,2135,43669,0,$XOM $CVX $OXY $EOG $COP $DVN $TOT $RDS.A $MRO $SWN $RRC $TRP $PBR $TSLA $CEO $PTR $EC $EQNR $BP $SNP https://t.co/wffO9JYykc
2020-04-15 00:34:01,,1,126,80278,0,$MG short % to float is 0.87% https://t.co/fsYMrC0H2b $HON 0.95% $TISI 15.71% $CVX 0.87%
2020-04-15 00:18:01,"New York, USA",40,1658,83195,0,Short sale volume(not short interest) for $EC on 2020-04-13 is 44%. https://t.co/Ro5L14FKlB $CVX 59% $OXY 50% $BP 54% $PBR 48%
2020-04-15 00:05:18,,2,4549,666970,2,RT @Drugdoctor2014: $MDCL $1.60 +17% - Medicine Man Colorado Soaring today - Acquisitions to close THIS QUARTER! $ANDV $APA $BSM $BPMP $BP…
2020-04-15 00:02:20,,55,79,1888,2,RT @Drugdoctor2014: $MDCL $1.60 +17% - Medicine Man Colorado Soaring today - Acquisitions to close THIS QUARTER! $ANDV $APA $BSM $BPMP $BP…
2020-04-14 23:48:28,United States,504,875,12229,0,"Diamondback Energy $FANG clapping back at #texas over #oil prod caps
⛽️threatening to halt all drilling if cuts are imposed
⛽️threatening zero employment and zero zero revenue
⛽️$XOM $CVX $MPC against caps

#oil #oott #energy #stocks #economy #bonds https://t.co/Q7OZcI13rD"
2020-04-14 23:35:12,,16,19,244,0,Can $jpm go higher after 4/14: $spy $dia $uso $gld $iwm $ezu $smh $fxi $xly $xle $xlf $xlk $xlp $xlb $xli $xlu $xlv $bac $dis $axp $gs $V $hd $wmt $mmm $wba $ba $cat $ibm $aapl $jnj $nflx $tsla $twtr $amzn $pfe $mrk $unh $ups $mat $tpr $aal $fslr $cvx $xom $slb $gm $pypl $sina
2020-04-14 23:28:56,,16,19,244,0,@realDonaldTrump stop @WHO funding: $spy $dia $uso $gld $iwm $ezu $smh $fxi $xly $xle $xlf $xlk $xlp $xlb $xli $xlu $xlv $jpm $dis $axp $gs $V $hd $wmt $mmm $wba $ba $cat $ibm $aapl $jnj $nflx $tsla $twtr $amzn $pfe $mrk $unh $ups $mat $tpr $aal $fslr $cvx $xom $slb $gm $pypl
2020-04-14 23:22:22,,2,4549,666970,1,RT @RandallLSimpson: @blklab4 I'm planning on scalping this whole year. I went green on a couple of my portfolios last week. If we get any…
2020-04-14 22:25:46,,2293,1412,30572,1,"@blklab4 I'm planning on scalping this whole year. I went green on a couple of my portfolios last week. If we get any kind of meaningful recovery, I will do 30%. Probably have to wait too long for oil, but I'm green on $CVX and $RDSA. This shit's exciting!"
2020-04-14 22:19:04,,119,5,17,1,RT @tradingcrudeoil: Crude oil closed lower on Tuesday as it extends a five week old trading range. If we continue this year's decline $17.…
2020-04-14 22:17:35,"Los Angeles, CA",4026,697,51272,0,$CVX $XOM $LUKOY - Chevron's $45B Kazakhstan expansion project halted by Covid-19 https://t.co/dKQlUunRzu
2020-04-14 21:53:26,USA,3803,3548,7064,0,"Natural gas closed sharply lower on Tuesday and below the 20 day moving average crossing tempering the friendly outlook. If we renew the recent rally 2.044 is the next upside target….Read More Here &gt; https://t.co/s8cfp9uRvt

$UNG $FCG $UGAZ $APA $CVX #stocks #investing #energy"
2020-04-14 21:38:41,,891,2874,37354,1,"RT @permabear_uk: $CVX settled -0.3% to $84.61, pressured via $WTIC $19s. Red gap remains an issue for May/June. https://t.co/SqQAkV8OC2"
2020-04-14 21:38:03,"London, UK",3,7248,43149,1,"$CVX settled -0.3% to $84.61, pressured via $WTIC $19s. Red gap remains an issue for May/June. https://t.co/SqQAkV8OC2"
2020-04-14 21:36:17,"Vernon, Az. USA",9201,19024,20507,1,"Crude oil closed lower on Tuesday as it extends a five week old trading range. If we continue this year's decline $17.12 is the next downside target. Closes above $29.13 would open the door for additional short term gains….Read More Here &gt; https://t.co/zqXOpGb9KN

$USO $XOM $CVX"
2020-04-14 20:30:48,"Philadelphia, PA",9,3478,74294,0,Largest $Notional Sell On Close Order Imbalances $BABA $ABBV $CVX $PLD $BX $PNC $BRK.B $PM $CRM $TSM https://t.co/V7Aciy2vFa
2020-04-14 20:24:59,United States,1823,2135,43669,0,"U.S. Gulf Coast ULSD
Apr 20 -$0.0899 
#OOTT #GulfCoast $VLO $CVX
https://t.co/49vR5vEhJx https://t.co/bQ1tiDTRAe"
2020-04-14 20:22:35,USA,4650,2762,76516,0,$CVX Was up 2.60 %. Turned negative -0.12 % | (Green to red move) https://t.co/THnpRTVCGx https://t.co/Fcpp2ulC4o
2020-04-14 20:05:04,"California, USA",5183,4795,29315,0,"Top #moneyflow for #sp500 today
$BA $JPM $CVX $MA $BAC $OXY $ORCL $HAL $HUM $HST ...
https://t.co/S59zN0R1wP"
2020-04-14 20:02:16,"Long Island, NY",170,3521,25243,1,"RT @OptionsLocator: Inside Day 4/14:

$AAL
$ACB
$BBBY
$BIG
$CAT
$CVX (double)
$DNKN
$EXPE
$GRUB
$KSS
$LUV
$SDC
$TRV (double)
$UAA
$XLE (dou…"
2020-04-14 20:01:06,"Indiana, United States",37,1336,5986,1,"Inside Day 4/14:

$AAL
$ACB
$BBBY
$BIG
$CAT
$CVX (double)
$DNKN
$EXPE
$GRUB
$KSS
$LUV
$SDC
$TRV (double)
$UAA
$XLE (double)"
2020-04-14 19:58:07,Greece,106,4783,4666,0,"$CVX 60 min chart
I think I will triger the short
@AOTtrades https://t.co/DPNrGhf4uc"
2020-04-14 19:55:23,,2,4549,666970,1,"RT @socalqt: Switched from $TSLA calls to puts, not the best exits all damn day. Out of $amzn, out too soon $goog, added to existing $msft,…"
2020-04-14 19:53:02,,2,4549,666970,4,RT @JustinPulitzer: $XOM raised $9.5B in debt according to @CNBC… SMART to raise now while rates are low &amp; money is still plentiful. BOTH $…
2020-04-14 19:46:21,The Beach,2136,801,9075,1,"Switched from $TSLA calls to puts, not the best exits all damn day. Out of $amzn, out too soon $goog, added to existing $msft, $aapl (2021) $tqqq, $ba. Still some $sq, $cvx, $xom and the best position--cash. Ameritrade still acting wonky. Done for the day. https://t.co/gdiNS49MVe"
2020-04-14 19:46:03,,80,147,15968,4,RT @JustinPulitzer: $XOM raised $9.5B in debt according to @CNBC… SMART to raise now while rates are low &amp; money is still plentiful. BOTH $…
2020-04-14 19:27:29,Greece,106,4783,4666,0,Correction this chart is $CVX
2020-04-14 19:18:59,,75,80,17206,4,RT @JustinPulitzer: $XOM raised $9.5B in debt according to @CNBC… SMART to raise now while rates are low &amp; money is still plentiful. BOTH $…
2020-04-14 19:16:38,East Coast,756,198,1939,4,RT @JustinPulitzer: $XOM raised $9.5B in debt according to @CNBC… SMART to raise now while rates are low &amp; money is still plentiful. BOTH $…
2020-04-14 19:13:36,"New York, NY",254,11488,107941,4,$XOM raised $9.5B in debt according to @CNBC… SMART to raise now while rates are low &amp; money is still plentiful. BOTH $XOM &amp; $CVX will be around to pick up the gems of the soon to be dead in the Oil sector.
2020-04-14 18:19:37,,16,19,244,0,Recovery type: $spy $dia $uso $gld $iwm $ezu $smh $fxi $xly $xle $xlf $xlk $xlp $xlb $xli $xlu $xlv $jpm $dis $axp $gs $V $hd $wmt $mmm $wba $ba $cat $ibm $aapl $jnj $nflx $tsla $twtr $amzn $pfe $mrk $unh $ups $mat $tpr $aal $fslr $cvx $xom $slb $gm $pypl $sina $Z
2020-04-14 18:18:01,"New York, USA",40,1658,83195,0,2020-04-13 Short sale volume (not short interest) for $CVX is 59%. https://t.co/7Y5wxVdsht $PBR.A 76% $XOM 45% $BP 54% $COP 56%
2020-04-14 18:13:27,,245,132,3666,0,"I still don't believe stocks have bottomed. I think the oil majors $XOM, $CVX probably have but I'm not believing this rally. Let's see how things are next week after OpEx is over."
