createdAt,location,following,followers,totaltweets,retweetcount,text
2020-04-15 06:45:24,Freiburg im Breisgau,271,96,3612,1,"RT @BulldudeC: 5 Popular Stocks Breakout a Resistance Today

https://t.co/a8O5u569Hy

$AMZN $AMD $WMT $SHOP $VEEV"
2020-04-15 06:29:22,Amsterdam,14,16,716,38,"RT @TicTocTick: My FREE Trade Plan for 4/15 👇:

1. Look 👀 for shorts below 2836, target 🎯 2661

2. Look for longs above 2836, targets 2870…"
2020-04-15 06:28:31,,41,4,3,38,"RT @TicTocTick: My FREE Trade Plan for 4/15 👇:

1. Look 👀 for shorts below 2836, target 🎯 2661

2. Look for longs above 2836, targets 2870…"
2020-04-15 06:27:24,,86,71,10079,57,"RT @charliebilello: Walmart hits a new all-time high as toilet paper sales increase 1,000%. $WMT https://t.co/ssI9lyIJ8H"
2020-04-15 06:12:01,,241,37,205,38,"RT @TicTocTick: My FREE Trade Plan for 4/15 👇:

1. Look 👀 for shorts below 2836, target 🎯 2661

2. Look for longs above 2836, targets 2870…"
2020-04-15 05:58:09,Bengaluru ,1478,2010,11049,57,"RT @charliebilello: Walmart hits a new all-time high as toilet paper sales increase 1,000%. $WMT https://t.co/ssI9lyIJ8H"
2020-04-15 05:52:09,,2,4549,666969,2,"RT @axelroark: Anyone watch @jimcramer tonight? His opening segment recommended $TGT, $COST, $WMT, $AMZN, because “you can buy them at a di…"
2020-04-15 05:51:02,Global ,5001,3558,22589,57,"RT @charliebilello: Walmart hits a new all-time high as toilet paper sales increase 1,000%. $WMT https://t.co/ssI9lyIJ8H"
2020-04-15 05:31:35,,297,135,7785,38,"RT @TicTocTick: My FREE Trade Plan for 4/15 👇:

1. Look 👀 for shorts below 2836, target 🎯 2661

2. Look for longs above 2836, targets 2870…"
2020-04-15 05:30:27,"Boston, MA",578,7045,9007,0,"My stock swing trades. Made some moves a couple weeks ago, and everything played out perfectly! Can't let everyone else have all the fun.

Don't you love when the TA matches up with some black swan fundamentals? There are bright sides to this insanity!

$TSLA $AMZN $WMT $UPS https://t.co/wg2M8EZY8y"
2020-04-15 05:26:18,,228,13,650,57,"RT @charliebilello: Walmart hits a new all-time high as toilet paper sales increase 1,000%. $WMT https://t.co/ssI9lyIJ8H"
2020-04-15 04:58:01,"New York, NY",254,11488,107941,4,"RT @JustinPulitzer: 💥Mid-Week Review VIDEO 4/15: https://t.co/ArJDdYHGVy

$VIX $VVIX $ES_F $SPY $UUP $CL_F $XOM $CVX $TLT $HYG $MUB $GLD $N…"
2020-04-15 04:56:12,"Davao City, Philippines",42,241,12413,4,"RT @JustinPulitzer: 💥Mid-Week Review VIDEO 4/15: https://t.co/ArJDdYHGVy

$VIX $VVIX $ES_F $SPY $UUP $CL_F $XOM $CVX $TLT $HYG $MUB $GLD $N…"
2020-04-15 04:46:38,"San Francisco, CA",86,58,70,0,"Top 20 S&amp;P 500 gainers for Monday April 13th, 2020

$NFLX $AMZN $AMD $SNPS $NEM $BBY $ATVI $INTC $NVDA $EA $ANSS $WMT $VRTX $MU $INCY $ILMN $FTNT $AVGO $NOW $VRSN https://t.co/l9NISZ114G"
2020-04-15 04:45:39,"California, USA",23,3691,7572,0,"Tuesday's Top Flow in #consumer staples sector, Buy Flow and Sell Flow. $COST $EL $WMT $PG $CLX $PM $GIS $CL $CPB $KMB $PEP $MDLZ $MO $KO $STZ $K $CVS $TAP $SJM $BF.B #stocks #StockMarket #stockstowatch #StocksToTrade #stock #StockTrading #market #finance 
https://t.co/5JE2nlrW3B https://t.co/YE1a5SiWR0"
2020-04-15 04:44:44,Cayman Islands,448,69,4073,33,RT @jimcramer: $WMT all time high
2020-04-15 04:29:22,,126,2123,15405,0,@SamanthaLaDuc This is crazy and signals the market cornering the FED for even more $$. Gonna get wild. In mean time $amzn $wmt ATH. Enjoy
2020-04-15 04:28:27,,2,4549,666969,2,"RT @SheepleAnalytic: As Main Street businesses get wiped out, $AMZN and $WMT are making all time highs today. https://t.co/Bwgzz2P2g0"
2020-04-15 04:26:55,"New York, NY",25,206,1704,4,"RT @JustinPulitzer: 💥Mid-Week Review VIDEO 4/15: https://t.co/ArJDdYHGVy

$VIX $VVIX $ES_F $SPY $UUP $CL_F $XOM $CVX $TLT $HYG $MUB $GLD $N…"
2020-04-15 04:26:47,"New York, NY",2,398,347,4,"RT @JustinPulitzer: 💥Mid-Week Review VIDEO 4/15: https://t.co/ArJDdYHGVy

$VIX $VVIX $ES_F $SPY $UUP $CL_F $XOM $CVX $TLT $HYG $MUB $GLD $N…"
2020-04-15 04:11:02,,85,34,1247,38,"RT @TicTocTick: My FREE Trade Plan for 4/15 👇:

1. Look 👀 for shorts below 2836, target 🎯 2661

2. Look for longs above 2836, targets 2870…"
2020-04-15 04:07:50,San Jose,4979,3526,78833,0,$AMZN $WMT https://t.co/LVgvp750tg
2020-04-15 04:03:41,"Los Angeles, CA",164,315,946,0,"@Dom_c1821 Look for oversold sector ETF’s (extra points for triple bull) that are projected to over perform due to the current market conditions. $TQQQ is still down 45% from February. 

Retail seems good, as well, but $WMT is at all time highs, so it’s be good to grab $TGT instead."
2020-04-15 04:02:02,"Missouri, USA",420,31,218,2,"RT @SheepleAnalytic: As Main Street businesses get wiped out, $AMZN and $WMT are making all time highs today. https://t.co/Bwgzz2P2g0"
2020-04-15 03:57:31,"New York, NY",254,11488,107941,4,"💥Mid-Week Review VIDEO 4/15: https://t.co/ArJDdYHGVy

$VIX $VVIX $ES_F $SPY $UUP $CL_F $XOM $CVX $TLT $HYG $MUB $GLD $NEM $DIA $IYT $CSX $JBHT $BA $JNJ $PG $WMT $NKE $HD $W $SMH $MSFT $AMZN $AAPL $NFLX $ROKU $DIS $FB $GOOGL $TSLA $BKNG $EXPE"
2020-04-15 03:55:07,,2,4549,666969,1,"RT @PaulMedica: Am I the only that thinks $AMZN, $WMT, $CLX etc might be a weeeeeee bit overextending themselves here?"
2020-04-15 03:40:26,"The Villages, FL",22,7,19,22,"RT @BrandonVanZee: 04/14/20 - View today's #MarketOutlook from 
@Market_Scholars

https://t.co/LA6iXegrpE

Discussed: $SPY $IWM $DIA $QQQ $…"
2020-04-15 03:24:56,,41,3,106,38,"RT @TicTocTick: My FREE Trade Plan for 4/15 👇:

1. Look 👀 for shorts below 2836, target 🎯 2661

2. Look for longs above 2836, targets 2870…"
2020-04-15 03:17:15,United States,21,22,296,38,"RT @TicTocTick: My FREE Trade Plan for 4/15 👇:

1. Look 👀 for shorts below 2836, target 🎯 2661

2. Look for longs above 2836, targets 2870…"
2020-04-15 03:08:39,"Boston,  New England",2891,3467,46295,2,"RT @axelroark: Anyone watch @jimcramer tonight? His opening segment recommended $TGT, $COST, $WMT, $AMZN, because “you can buy them at a di…"
2020-04-15 03:06:33,,327,69,2592,38,"RT @TicTocTick: My FREE Trade Plan for 4/15 👇:

1. Look 👀 for shorts below 2836, target 🎯 2661

2. Look for longs above 2836, targets 2870…"
2020-04-15 03:04:44,Canada,255,16,522,38,"RT @TicTocTick: My FREE Trade Plan for 4/15 👇:

1. Look 👀 for shorts below 2836, target 🎯 2661

2. Look for longs above 2836, targets 2870…"
2020-04-15 02:45:47,"Texas, Louisiana ",2188,1169,15370,1,"Am I the only that thinks $AMZN, $WMT, $CLX etc might be a weeeeeee bit overextending themselves here?"
2020-04-15 02:42:31,USA,472,580,8487,57,"RT @charliebilello: Walmart hits a new all-time high as toilet paper sales increase 1,000%. $WMT https://t.co/ssI9lyIJ8H"
2020-04-15 02:27:03,Bulgaria,81,12,177,38,"RT @TicTocTick: My FREE Trade Plan for 4/15 👇:

1. Look 👀 for shorts below 2836, target 🎯 2661

2. Look for longs above 2836, targets 2870…"
2020-04-15 02:25:16,,56,161,2880,38,"RT @TicTocTick: My FREE Trade Plan for 4/15 👇:

1. Look 👀 for shorts below 2836, target 🎯 2661

2. Look for longs above 2836, targets 2870…"
2020-04-15 02:16:54,,43,36,821,22,"RT @BrandonVanZee: 04/14/20 - View today's #MarketOutlook from 
@Market_Scholars

https://t.co/LA6iXegrpE

Discussed: $SPY $IWM $DIA $QQQ $…"
2020-04-15 02:11:57,,217,34,330,22,"RT @BrandonVanZee: 04/14/20 - View today's #MarketOutlook from 
@Market_Scholars

https://t.co/LA6iXegrpE

Discussed: $SPY $IWM $DIA $QQQ $…"
2020-04-15 01:58:30,United States,1653,73377,30517,0,$WMT not quite $AMZN  move but a nice blast to new ATHs
2020-04-15 01:51:02,,1,126,80279,0,short ratio of $NGVC is 8.96 at 2019-05-31 https://t.co/sXKF91HUJV $KR 5.47 $DIT 0.07 $UNFI 8.75 $WMT 2.11
2020-04-15 01:48:05,,60,6,158,38,"RT @TicTocTick: My FREE Trade Plan for 4/15 👇:

1. Look 👀 for shorts below 2836, target 🎯 2661

2. Look for longs above 2836, targets 2870…"
2020-04-15 01:45:43,USA,3004,7040,14613,22,"RT @BrandonVanZee: 04/14/20 - View today's #MarketOutlook from 
@Market_Scholars

https://t.co/LA6iXegrpE

Discussed: $SPY $IWM $DIA $QQQ $…"
2020-04-15 01:39:18,,23,2,1813,57,"RT @charliebilello: Walmart hits a new all-time high as toilet paper sales increase 1,000%. $WMT https://t.co/ssI9lyIJ8H"
2020-04-15 01:39:09,μολὼν λαβέ,1345,1439,4370,22,"RT @BrandonVanZee: 04/14/20 - View today's #MarketOutlook from 
@Market_Scholars

https://t.co/LA6iXegrpE

Discussed: $SPY $IWM $DIA $QQQ $…"
2020-04-15 01:28:31,"New York, NY",247,111,6888,2,RT @HiddenPivots: $WMT from pre-mkt chart triggers #HPchartroom https://t.co/nSH5I9Wd7i
2020-04-15 01:26:03,Empire HQ,160,2384,7001,2,"Anyone watch @jimcramer tonight? His opening segment recommended $TGT, $COST, $WMT, $AMZN, because “you can buy them at a discount.” https://t.co/lWfH09Wruh"
2020-04-15 01:24:27,"San Jose, CA",275,178,6778,22,"RT @BrandonVanZee: 04/14/20 - View today's #MarketOutlook from 
@Market_Scholars

https://t.co/LA6iXegrpE

Discussed: $SPY $IWM $DIA $QQQ $…"
2020-04-15 01:14:20,,228,124,5341,22,"RT @BrandonVanZee: 04/14/20 - View today's #MarketOutlook from 
@Market_Scholars

https://t.co/LA6iXegrpE

Discussed: $SPY $IWM $DIA $QQQ $…"
2020-04-15 01:14:09,,49,6,906,38,"RT @TicTocTick: My FREE Trade Plan for 4/15 👇:

1. Look 👀 for shorts below 2836, target 🎯 2661

2. Look for longs above 2836, targets 2870…"
2020-04-15 01:13:33,,3225,116,1102,2,RT @HiddenPivots: $WMT from pre-mkt chart triggers #HPchartroom https://t.co/nSH5I9Wd7i
2020-04-15 01:12:01,United States,100,23935,22570,2,$WMT from pre-mkt chart triggers #HPchartroom https://t.co/nSH5I9Wd7i
2020-04-15 01:08:59,"New Jersey, USA",99,994,25156,0,“The biggest sellers of household items $WMT $COST &amp; $AMZN outpaced their sector and the broad market indexes. And that's saying something on a day when stocks ↗️ 4%” G.Scott 4/14 $XLP https://t.co/HnjpWLSxN0
2020-04-15 01:05:13,,131,31,1507,22,"RT @BrandonVanZee: 04/14/20 - View today's #MarketOutlook from 
@Market_Scholars

https://t.co/LA6iXegrpE

Discussed: $SPY $IWM $DIA $QQQ $…"
2020-04-15 01:03:57,Colorado,46,511,427,0,"$msft, $aapl, $baba, $fb, $v, $jnj, $wmt, $jpm, $pg, $ma, $tsm, $intc, $vz, $bac, $t, , $pfe, $dis, $csco, $nflx,  $nvda,  #stocks, $a, $f #trades, #trader, #TradesAfterWork 

The S&amp;P 500 Index &amp; Dow Jones 30 now need to confirm by breaking above their 50 &amp; 200 Day SMA's"
2020-04-15 01:02:59,,85,55,2373,22,"RT @BrandonVanZee: 04/14/20 - View today's #MarketOutlook from 
@Market_Scholars

https://t.co/LA6iXegrpE

Discussed: $SPY $IWM $DIA $QQQ $…"
2020-04-15 01:00:26,"Atlanta, GA",10903,11023,3471,22,"RT @BrandonVanZee: 04/14/20 - View today's #MarketOutlook from 
@Market_Scholars

https://t.co/LA6iXegrpE

Discussed: $SPY $IWM $DIA $QQQ $…"
2020-04-15 00:58:57,Global,285,2545,2054,22,"RT @BrandonVanZee: 04/14/20 - View today's #MarketOutlook from 
@Market_Scholars

https://t.co/LA6iXegrpE

Discussed: $SPY $IWM $DIA $QQQ $…"
2020-04-15 00:58:45,SD ➡️ MN ➡️ CA ➡️ NE ➡️ UT,957,7325,10666,22,"04/14/20 - View today's #MarketOutlook from 
@Market_Scholars

https://t.co/LA6iXegrpE

Discussed: $SPY $IWM $DIA $QQQ $SPX $VIX $TNX $TLT $GLD $USO $UUP $XLP $XLV $XLK $XLY $JNJ $PG $LUV $CLX $CL $WMT $AMZN $ZM $CSCO $DFS"
2020-04-15 00:57:52,California,549,471,36079,0,**UPDATE** $WMT new all time highs $XRT #Trade2020 https://t.co/VYRg2Hxjov
2020-04-15 00:56:05,us,543,154,980,0,$WMT $150 calls looking good
2020-04-15 00:55:52,Colorado,46,511,427,0,"$msft, $aapl, $baba, $fb, $v, $jnj, $wmt, $jpm, $pg, $ma, $tsm, $intc, $vz, $bac, $t, $mrk, $ko, $pfe, $dis, $csco, $nflx, $xom, $nvda, $vcx, $nke, $crm, $bmy, $mdt,  #stocks, $a, $f #trades, #trader, #TradesAfterWork 

QQQ Above 50 &amp; 200 Day SMA. https://t.co/b0Bxh01kJm https://t.co/5A3nhzMTTb"
2020-04-15 00:54:09,"New Jersey, USA",244,85,3698,3,RT @MDLive4: #OptionsTrading $JETS $AAL $DAL $WMT $CGC $TLT $OXY $XOP $SPY $TLRY $MRNA $WWE $CAKE $GM $DIS $CLVS $LVS link in profile to se…
2020-04-15 00:41:39,"Toronto, Ontario",1292,182,433,33,RT @jimcramer: $WMT all time high
2020-04-15 00:36:50,"Boston, MA",708,108,369,0,"@marcuslemonis Low cost with a high value like $CMG, $WMT, $COST"
2020-04-15 00:33:39,Montana,158,35,424,38,"RT @TicTocTick: My FREE Trade Plan for 4/15 👇:

1. Look 👀 for shorts below 2836, target 🎯 2661

2. Look for longs above 2836, targets 2870…"
2020-04-15 00:33:31,"Nob Hill, San Francisco",662,57,3578,4,"RT @361Capital: $SPX +3.1%, $NDX +4.3%
If you bet new lows before new highs,
this mkt is going to make you sweat.
$AMZN $WMT $LLY to new al…"
2020-04-15 00:29:35,"Ciudad Autónoma de Buenos Aires, Argentina",1447,287,8195,57,"RT @charliebilello: Walmart hits a new all-time high as toilet paper sales increase 1,000%. $WMT https://t.co/ssI9lyIJ8H"
2020-04-15 00:28:05,S. California 91792 九一七九二 WCov,5001,301,11142,0,"Ace of cups 🧠🌳🌳🌳🌳♥️🌳🌳🌳🌳☁️☁️☁️☁️🌳🌳🌳🌳
two of cups and three3 of cups #tarotdinero #TarotReading 
#smoker #smokers Huanghelou $WMT $DIS $WEN $QCOM $AA $AAL handsome right? Wash mouth. $SBUX $DAL $LUV $MCD $TWTR $GE $YUM $YUMA $ODFL $JCP $FB $WMT $FEYE 91714九一七一四. 5"
2020-04-15 00:17:43,,2012,307,2940,38,"RT @TicTocTick: My FREE Trade Plan for 4/15 👇:

1. Look 👀 for shorts below 2836, target 🎯 2661

2. Look for longs above 2836, targets 2870…"
2020-04-15 00:16:51,"Washington, DC",933,147,2256,38,"RT @TicTocTick: My FREE Trade Plan for 4/15 👇:

1. Look 👀 for shorts below 2836, target 🎯 2661

2. Look for longs above 2836, targets 2870…"
2020-04-15 00:13:29,Australia & Other Places,634,75,889,1,"RT @ThePitBoss16: Big Day for the retailers in the US potentially tomorrow:
8:30am USD March Retail Sales Advance M/M: -7.5% expected v -0.…"
2020-04-15 00:13:01,,23,72,863,38,"RT @TicTocTick: My FREE Trade Plan for 4/15 👇:

1. Look 👀 for shorts below 2836, target 🎯 2661

2. Look for longs above 2836, targets 2870…"
2020-04-15 00:12:30,In the Pit,154,2344,21135,1,"Big Day for the retailers in the US potentially tomorrow:
8:30am USD March Retail Sales Advance M/M: -7.5% expected v -0.5% prior which was the worst ever drop since records started in 1992. $SPX $WMT $TGT $COST $JWN $M
Update https://t.co/KkLYZNyG81 https://t.co/uN0SJgfk99"
2020-04-14 23:58:50,United States,16,0,1163,38,"RT @TicTocTick: My FREE Trade Plan for 4/15 👇:

1. Look 👀 for shorts below 2836, target 🎯 2661

2. Look for longs above 2836, targets 2870…"
2020-04-14 23:57:27,"Minnesota, USA",128,323,31987,38,"RT @TicTocTick: My FREE Trade Plan for 4/15 👇:

1. Look 👀 for shorts below 2836, target 🎯 2661

2. Look for longs above 2836, targets 2870…"
2020-04-14 23:55:47,"Davao City, Philippines",42,241,12413,38,"RT @TicTocTick: My FREE Trade Plan for 4/15 👇:

1. Look 👀 for shorts below 2836, target 🎯 2661

2. Look for longs above 2836, targets 2870…"
2020-04-14 23:49:35,,989,59,9178,38,"RT @TicTocTick: My FREE Trade Plan for 4/15 👇:

1. Look 👀 for shorts below 2836, target 🎯 2661

2. Look for longs above 2836, targets 2870…"
2020-04-14 23:49:11,,388,46,671,38,"RT @TicTocTick: My FREE Trade Plan for 4/15 👇:

1. Look 👀 for shorts below 2836, target 🎯 2661

2. Look for longs above 2836, targets 2870…"
2020-04-14 23:46:52,,815,301,12098,0,Me growing my $SQQQ hedge against my equity gains $TSLA $SQ $AAPL $BTC $AMZN $WMT ALWAYS BUY PUTS AND SELL CALLS AND BUY $SQQQ IF U WANT THE MARKET TO KEEP GOING UP AND U WANT TO BUILD PROTECTION AGAINST LONG TERM INVESTMENTS!!! https://t.co/Rr9Sk0pE9x
2020-04-14 23:38:38,,1,46,2234,1025,RT @readDanwrite: !! Walmart EVP of corporate affairs Dan Bartlett tells @YahooFinance that amid #coronavirus: “We are seeing increased sal…
2020-04-14 23:36:32,,3153,2739,910,1,"5 Popular Stocks Breakout a Resistance Today

https://t.co/a8O5u569Hy

$AMZN $AMD $WMT $SHOP $VEEV"
