createdAt,location,following,followers,totaltweets,retweetcount,text
2020-04-15 06:23:01,"Ontario, Canada",92,70,102,23,RT @dividendhike: Procter &amp; Gamble hikes dividend by 6.0 percent. $PG @dividendaristo
2020-04-15 05:53:13,"Sioux Falls, SD",2665,5027,1651700,0,Procter &amp; Gamble $PG Trading Up 4.3% Following Dividend Announcement https://t.co/cR3FBaMiwl
2020-04-15 05:51:28,United States,35,518,525032,0,Procter &amp; Gamble $PG Trading Up 4.3% Following Dividend Announcement https://t.co/7ihJHKHKqh
2020-04-15 05:50:27,Virginia,41,2928,1916758,0,Procter &amp; Gamble $PG Trading Up 4.3% Following Dividend Announcement https://t.co/p12ZlTbYOs
2020-04-15 05:44:50,,99,5316,6241,0,"Backing up $JNJ today is $PG with their own 6% dividend increase. Procter &amp; Gamble making it happen by selling the products people need, especially in these times. Glad to be a shareholder. 😊🙏📈

#stocks #dividends #investing #money #DGI #passiveincome"
2020-04-15 05:43:05,,186,14,77,23,RT @dividendhike: Procter &amp; Gamble hikes dividend by 6.0 percent. $PG @dividendaristo
2020-04-15 05:05:10,,51,97,475,23,RT @dividendhike: Procter &amp; Gamble hikes dividend by 6.0 percent. $PG @dividendaristo
2020-04-15 04:58:01,"New York, NY",254,11490,107941,4,"RT @JustinPulitzer: 💥Mid-Week Review VIDEO 4/15: https://t.co/ArJDdYHGVy

$VIX $VVIX $ES_F $SPY $UUP $CL_F $XOM $CVX $TLT $HYG $MUB $GLD $N…"
2020-04-15 04:56:12,"Davao City, Philippines",42,241,12413,4,"RT @JustinPulitzer: 💥Mid-Week Review VIDEO 4/15: https://t.co/ArJDdYHGVy

$VIX $VVIX $ES_F $SPY $UUP $CL_F $XOM $CVX $TLT $HYG $MUB $GLD $N…"
2020-04-15 04:56:11,,201,75,166,23,RT @dividendhike: Procter &amp; Gamble hikes dividend by 6.0 percent. $PG @dividendaristo
2020-04-15 04:45:39,"California, USA",23,3690,7572,0,"Tuesday's Top Flow in #consumer staples sector, Buy Flow and Sell Flow. $COST $EL $WMT $PG $CLX $PM $GIS $CL $CPB $KMB $PEP $MDLZ $MO $KO $STZ $K $CVS $TAP $SJM $BF.B #stocks #StockMarket #stockstowatch #StocksToTrade #stock #StockTrading #market #finance 
https://t.co/5JE2nlrW3B https://t.co/YE1a5SiWR0"
2020-04-15 04:44:23,Europe,43,15,17,0,$PG announced #dividend increase from 0.746$ to 0.79$. That's another additional 0.3$/quarter for me. Sad another good overvalued stock with E/P ~21x. FED time to let the market fall to where it needs to be.
2020-04-15 04:38:00,"Boston, MA",271,534,29613,0,"Coronavirus and consumer staples...
$XLP $UL $PG #COVID19 https://t.co/gvwVensEcG"
2020-04-15 04:34:31,,46,120,187,23,RT @dividendhike: Procter &amp; Gamble hikes dividend by 6.0 percent. $PG @dividendaristo
2020-04-15 04:32:23,Weinviertel,50,237,935,23,RT @dividendhike: Procter &amp; Gamble hikes dividend by 6.0 percent. $PG @dividendaristo
2020-04-15 04:26:55,"New York, NY",25,206,1704,4,"RT @JustinPulitzer: 💥Mid-Week Review VIDEO 4/15: https://t.co/ArJDdYHGVy

$VIX $VVIX $ES_F $SPY $UUP $CL_F $XOM $CVX $TLT $HYG $MUB $GLD $N…"
2020-04-15 04:26:47,"New York, NY",2,398,347,4,"RT @JustinPulitzer: 💥Mid-Week Review VIDEO 4/15: https://t.co/ArJDdYHGVy

$VIX $VVIX $ES_F $SPY $UUP $CL_F $XOM $CVX $TLT $HYG $MUB $GLD $N…"
2020-04-15 04:18:03,,140701,136730,2011751,1,"RT @getvolatility: Cheap put options and hedges: $AAPL puts cheaper than 83% of history, $LULU 83%, $PG 83%, $GOOG 83%, $ADBE 83%, $CCL 83%…"
2020-04-15 03:57:31,"New York, NY",254,11490,107941,4,"💥Mid-Week Review VIDEO 4/15: https://t.co/ArJDdYHGVy

$VIX $VVIX $ES_F $SPY $UUP $CL_F $XOM $CVX $TLT $HYG $MUB $GLD $NEM $DIA $IYT $CSX $JBHT $BA $JNJ $PG $WMT $NKE $HD $W $SMH $MSFT $AMZN $AAPL $NFLX $ROKU $DIS $FB $GOOGL $TSLA $BKNG $EXPE"
2020-04-15 03:47:55,,758,119,20157,12,RT @Stephanie_Link: Quality companies raising dividends with strong FCF and steady businesses deserve an extra multiple point or two - $JNJ…
2020-04-15 03:40:26,"The Villages, FL",22,7,19,22,"RT @BrandonVanZee: 04/14/20 - View today's #MarketOutlook from 
@Market_Scholars

https://t.co/LA6iXegrpE

Discussed: $SPY $IWM $DIA $QQQ $…"
2020-04-15 03:40:07,Florida,23,8,81,23,RT @dividendhike: Procter &amp; Gamble hikes dividend by 6.0 percent. $PG @dividendaristo
2020-04-15 03:28:02,"Magdeburg, Deutschland",119,29,587,23,RT @dividendhike: Procter &amp; Gamble hikes dividend by 6.0 percent. $PG @dividendaristo
2020-04-15 03:09:24,,2,4547,666981,2,RT @ianlopuch: Days like today are why I spent most of 2018 buying shares of $PG and $KMB. Dividend investing can work wonders with 1) qual…
2020-04-15 03:05:07,"Atlanta, GA",526,1557,2574,2,"RT @DvdndDiplomats: Not 1, but 2 Dividend Aristocrats Increased their dividend by 6% TODAY!!🚀🚀  $JNJ and $PG coming through baby!🔥🔥

Who an…"
2020-04-15 03:02:10,"Atlanta, GA",526,1557,2574,1,RT @JC_PIP: I knew a raise would be coming but man i didnt expect much. Procter &amp; Gamble increases dividend by 6% https://t.co/63xZbrCL8t $…
2020-04-15 02:57:49,,2556,2795,12856,4,"RT @DividendGrowth: Procter &amp; Gamble Company $PG increased its quarterly dividend by 6% to $0.7907 per share 

This dividend increase marke…"
