createdAt,location,following,followers,totaltweets,retweetcount,text
2020-04-15 08:06:51,"Sunnyvale, CA",793,2706,534711,0,"$CSCO in Uptrend: price expected to rise as it breaks its lower Bollinger Band on March 12, 2020. View odds for this and other indicators: https://t.co/HbLVnclVp3 #CiscoSystems #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today https://t.co/sDwtCmfdYU"
2020-04-15 06:00:03,,259,32,37,0,The Technology Industry is going through Change. The usage with the Stay At Home approach being taken puts technology companies in a bullish position to support this approach. The companies that lead the charge are -&gt; $msft $goog $googl $fb $csco $orcl $adbe $sap $crm $pypl https://t.co/HNnlcDgqYu
2020-04-15 05:33:37,,0,181,58142,0,$CSCO might be worth taking a position when this bottoms  2.41 % change recently https://t.co/BfpO0mjwOq
2020-04-15 04:45:26,ALWAYS DO YOUR OWN DUE DILIGENCE and READ OUR DISCLAIMERS,47,147,95,0,Is chart bottom finally in for PLIN?Shares rose 3.4%. Recent acquisition implies significantly higher share price moving forward. $WFC $ET $CMCSA $XOM $PFE $UBER $NOK $AAL $MRO $CSCO $SLB $ITUB $JPM $INTC $DIS $C $EPD $CZR $FB $NLY $VZ $CCL $SNAP $S $ABEV $HAL $MU $DAL $KMI $GOLD https://t.co/NzQrMp55rf
2020-04-15 03:58:52,"California, USA",23,3691,7572,0,"Tuesday's Top Flow in #technology sector, Buy Flow and Sell Flow. $FB $MSFT $FISV $ADBE $TXN $CTSH $VZ $IBM $LRCX $KLAC $AAPL $GOOGL $GOOG $INTC $NVDA $CSCO $QCOM $EBAY $INTU $ADP #stocks #StockMarket #stockstowatch #StocksToTrade #StockTrading #market https://t.co/5JE2nlrW3B https://t.co/fqleiGIjJ5"
2020-04-15 03:40:26,"The Villages, FL",22,7,19,23,"RT @BrandonVanZee: 04/14/20 - View today's #MarketOutlook from 
@Market_Scholars

https://t.co/LA6iXegrpE

Discussed: $SPY $IWM $DIA $QQQ $…"
2020-04-15 03:39:14,,4,3371,17976,0,$CSCO another ah jump https://t.co/TI8jUiqOpP
2020-04-15 02:25:54,Louisiana,42597,39722,23882,1,"RT @sprtcrdlui: $CRGP jumped out early and ran up 250% on huge volume. 
Let the Dust settle. Before buying $XSPA $KWBT $GAXY $CRGP $SBES $L…"
2020-04-15 02:17:15,"Lecce, Italy",4995,800,17824,259,"RT @MarkYusko: Technology evolves in a 14 year cycle around advances in computing power

‘54 - Mainframe
‘68 - Microchip
‘82 - PC
‘96 - Int…"
2020-04-15 02:16:54,,43,36,821,23,"RT @BrandonVanZee: 04/14/20 - View today's #MarketOutlook from 
@Market_Scholars

https://t.co/LA6iXegrpE

Discussed: $SPY $IWM $DIA $QQQ $…"
2020-04-15 02:11:57,,217,34,330,23,"RT @BrandonVanZee: 04/14/20 - View today's #MarketOutlook from 
@Market_Scholars

https://t.co/LA6iXegrpE

Discussed: $SPY $IWM $DIA $QQQ $…"
2020-04-15 01:45:43,USA,3005,7040,14613,23,"RT @BrandonVanZee: 04/14/20 - View today's #MarketOutlook from 
@Market_Scholars

https://t.co/LA6iXegrpE

Discussed: $SPY $IWM $DIA $QQQ $…"
2020-04-15 01:42:37,,475,47,265,0,@MasaSonCap Long $CSCO - crushing lamer bears since forever
2020-04-15 01:39:09,μολὼν λαβέ,1345,1439,4370,23,"RT @BrandonVanZee: 04/14/20 - View today's #MarketOutlook from 
@Market_Scholars

https://t.co/LA6iXegrpE

Discussed: $SPY $IWM $DIA $QQQ $…"
2020-04-15 01:24:27,"San Jose, CA",275,178,6778,23,"RT @BrandonVanZee: 04/14/20 - View today's #MarketOutlook from 
@Market_Scholars

https://t.co/LA6iXegrpE

Discussed: $SPY $IWM $DIA $QQQ $…"
2020-04-15 01:17:48,,2564,1161,9779,0,@GetRichBrothers ......Agree I was going to dip into KO back in March.....went with $CSCO $WBA $JPM $MS and $DGX instead......saving some powder in case we re-test lows
2020-04-15 01:14:20,,228,124,5341,23,"RT @BrandonVanZee: 04/14/20 - View today's #MarketOutlook from 
@Market_Scholars

https://t.co/LA6iXegrpE

Discussed: $SPY $IWM $DIA $QQQ $…"
2020-04-15 01:05:13,,131,31,1507,23,"RT @BrandonVanZee: 04/14/20 - View today's #MarketOutlook from 
@Market_Scholars

https://t.co/LA6iXegrpE

Discussed: $SPY $IWM $DIA $QQQ $…"
2020-04-15 01:03:57,Colorado,46,511,427,0,"$msft, $aapl, $baba, $fb, $v, $jnj, $wmt, $jpm, $pg, $ma, $tsm, $intc, $vz, $bac, $t, , $pfe, $dis, $csco, $nflx,  $nvda,  #stocks, $a, $f #trades, #trader, #TradesAfterWork 

The S&amp;P 500 Index &amp; Dow Jones 30 now need to confirm by breaking above their 50 &amp; 200 Day SMA's"
2020-04-15 01:02:59,,85,55,2373,23,"RT @BrandonVanZee: 04/14/20 - View today's #MarketOutlook from 
@Market_Scholars

https://t.co/LA6iXegrpE

Discussed: $SPY $IWM $DIA $QQQ $…"
2020-04-15 01:00:26,"Atlanta, GA",10906,11020,3471,23,"RT @BrandonVanZee: 04/14/20 - View today's #MarketOutlook from 
@Market_Scholars

https://t.co/LA6iXegrpE

Discussed: $SPY $IWM $DIA $QQQ $…"
2020-04-15 00:58:57,Global,285,2545,2054,23,"RT @BrandonVanZee: 04/14/20 - View today's #MarketOutlook from 
@Market_Scholars

https://t.co/LA6iXegrpE

Discussed: $SPY $IWM $DIA $QQQ $…"
2020-04-15 00:58:45,SD ➡️ MN ➡️ CA ➡️ NE ➡️ UT,957,7327,10666,23,"04/14/20 - View today's #MarketOutlook from 
@Market_Scholars

https://t.co/LA6iXegrpE

Discussed: $SPY $IWM $DIA $QQQ $SPX $VIX $TNX $TLT $GLD $USO $UUP $XLP $XLV $XLK $XLY $JNJ $PG $LUV $CLX $CL $WMT $AMZN $ZM $CSCO $DFS"
