createdAt,location,following,followers,totaltweets,retweetcount,text
2020-04-15 08:03:16,"Sunnyvale, CA",793,2707,534747,0,"$VZ's price moved above its 50-day Moving Average on April 6, 2020. View odds for this and other indicators: https://t.co/xEgC5M1V4p #VerizonCommunications #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today https://t.co/73pjDOJ1q6"
2020-04-15 07:23:52,,315,57,2494,3,RT @ErnestMEdsel1: Reason #872 why India Tech killed $BA Boeing in #737Max software crashes. You get what you $9/hr pay for at #H1B defecti…
2020-04-15 06:32:34,,29,827,50823,0,TomTom Expands Mapping Deal with #Verizon $VZ by Providing Maps APIs and SDKs https://t.co/aS1FUC1ICH https://t.co/u5nWmwqxI0
2020-04-15 06:04:49,,2,4546,666978,4,RT @DIGERATI_IR: Digerati Technologies Integrates its UCaaS Solutions with Microsoft Teams® Powered by Office 365 for Expanding Availabilit…
2020-04-15 04:54:32,Oregon,435,1626,28720,0,"Tues (4/14/20) pre-earnings (reporting between the next 5-10 days) breakout above 20-day price channel with highest % above OR 30-min high &amp; trading range &gt; 80% (Min $5 &amp; Vol 750K, Option Min Vol 250 in any strike): $LLNW $LLY $HCA $VZ $TSCO $CRSP https://t.co/KXC1pfXNRE"
2020-04-15 04:47:09,ALWAYS DO YOUR OWN DUE DILIGENCE and READ OUR DISCLAIMERS,47,147,95,0,Is chart bottom finally in for PLIN?Shares up 3.4%. Recent acquisition implies significantly higher share price moving forward. $NAP $ITUB $MRO $APRN $NIO $FB $CMCSA $JPM $KGC $AUY $MU $MGM $OXY $NOK $VZ $NIO $BABA $ZTO $JD $GSX $VIPS $BZUN $TCEHY $LK $NTES $EDU $HUYA $TAL $BILI https://t.co/grjLZ23Slb
2020-04-15 04:45:26,ALWAYS DO YOUR OWN DUE DILIGENCE and READ OUR DISCLAIMERS,47,147,95,0,Is chart bottom finally in for PLIN?Shares rose 3.4%. Recent acquisition implies significantly higher share price moving forward. $WFC $ET $CMCSA $XOM $PFE $UBER $NOK $AAL $MRO $CSCO $SLB $ITUB $JPM $INTC $DIS $C $EPD $CZR $FB $NLY $VZ $CCL $SNAP $S $ABEV $HAL $MU $DAL $KMI $GOLD https://t.co/NzQrMp55rf
2020-04-15 03:58:52,"California, USA",23,3691,7574,0,"Tuesday's Top Flow in #technology sector, Buy Flow and Sell Flow. $FB $MSFT $FISV $ADBE $TXN $CTSH $VZ $IBM $LRCX $KLAC $AAPL $GOOGL $GOOG $INTC $NVDA $CSCO $QCOM $EBAY $INTU $ADP #stocks #StockMarket #stockstowatch #StocksToTrade #StockTrading #market https://t.co/5JE2nlrW3B https://t.co/fqleiGIjJ5"
2020-04-15 03:37:04,"Ocala, FL",555,539,5587,4,RT @DIGERATI_IR: Digerati Technologies Integrates its UCaaS Solutions with Microsoft Teams® Powered by Office 365 for Expanding Availabilit…
2020-04-15 03:26:02,"Florida, Texas, Costa Rica",4734,1165,3437,4,RT @DIGERATI_IR: Digerati Technologies Integrates its UCaaS Solutions with Microsoft Teams® Powered by Office 365 for Expanding Availabilit…
2020-04-15 01:53:46,,21,16,84,0,"The reason why I chose to purchase 2 shares of $TMUS because T-Mobile is outgrowing $VZ although not as strong ad presence as $Vz. $TMUS stock is valued higher than $Vz also, $TMUS doesn’t give dividends which tells me they’re confident in there stocks value raising. And it is."
2020-04-15 01:03:57,Colorado,46,511,427,0,"$msft, $aapl, $baba, $fb, $v, $jnj, $wmt, $jpm, $pg, $ma, $tsm, $intc, $vz, $bac, $t, , $pfe, $dis, $csco, $nflx,  $nvda,  #stocks, $a, $f #trades, #trader, #TradesAfterWork 

The S&amp;P 500 Index &amp; Dow Jones 30 now need to confirm by breaking above their 50 &amp; 200 Day SMA's"
2020-04-15 00:55:52,Colorado,46,511,427,0,"$msft, $aapl, $baba, $fb, $v, $jnj, $wmt, $jpm, $pg, $ma, $tsm, $intc, $vz, $bac, $t, $mrk, $ko, $pfe, $dis, $csco, $nflx, $xom, $nvda, $vcx, $nke, $crm, $bmy, $mdt,  #stocks, $a, $f #trades, #trader, #TradesAfterWork 

QQQ Above 50 &amp; 200 Day SMA. https://t.co/b0Bxh01kJm https://t.co/5A3nhzMTTb"
2020-04-15 00:18:01,"Florida, USA",30,17,122,2,"RT @itsbigD18: Let’s have a #stockpicks convo: 

What do you think about these 3 companies? $T $CMCSA $VZ 

Would love to hear everyone’s o…"
2020-04-14 23:01:22,"Winnipeg, Manitoba",1,3606,183670,0,"$VZ Verizon Media Donates $10M in Advertising to Mental Health, COVID-19 Awareness https://t.co/ukwMrJmOSu"
2020-04-14 22:38:30,"Alaska, USA",788,4021,15326,0,Largest CALL OI increases $F $ET $TGT $VZ $BABA $CRM $UNP $FB $C $WFC $RIG $DUK $GD $HON $SRE $CSCO $D $EBAY $SNAP $BAC $MS $AAPL $GE #BlackBoxStocks #trading #stocks #stockstowatch #daytrading #scalptrading #optionstrading #swingtrading #wallstreet #StockMarket #money https://t.co/Y0n3UuIlPb
2020-04-14 20:56:06,"Florida, USA",510,127,4427,2,"RT @itsbigD18: Let’s have a #stockpicks convo: 

What do you think about these 3 companies? $T $CMCSA $VZ 

Would love to hear everyone’s o…"
2020-04-14 20:55:23,"Okeechobee, FL",228,215,1755,2,"Let’s have a #stockpicks convo: 

What do you think about these 3 companies? $T $CMCSA $VZ 

Would love to hear everyone’s opinion - good or bad."
2020-04-14 20:34:40,"Philadelphia, PA",9,3478,74294,0,Largest $Notional Buy On Close Order Imbalances $VZ $JNJ $V $MRK $KO $CCI $PG $MCD $CL $WM https://t.co/V7Aciy2vFa
2020-04-14 20:16:33,"Winnipeg, Manitoba",1,3606,183670,0,$VZ Verizon and OnePlus team up to launch powerful (and affordable) OnePlus 8 5G UW https://t.co/IouTRQUM3k
2020-04-14 20:10:19,"Houston, TX",469,6460,21229,0,$VZ will gladly take your stimulus check.. https://t.co/LTT6lyx9I5
2020-04-14 19:58:37,United States,264,450,7986,0,"$KT increases #internet speed for school and #school district internet expansion

https://t.co/wMMhyqYEsh

$AAPL $AMZN $BA $CMCSA $FB $GOOG $INTC $MSFT $NFLX $NVDA $S $T $TMUS $TSLA $VZ $WMT $XOM #wallstreet #stockmarket #stocks #valueinvesting #money #finance #investors https://t.co/mVUvEbbfiD"
2020-04-14 19:53:29,,276,25148,3060,0,#TELECOM PICKS $TMUS  &amp; more. Expert panel discussion which stocks are best positioned ??? Take a look ! $vz $t $cmcsa $chtr $atus $dish #5g https://t.co/CjjUV0EiAY
2020-04-14 19:53:02,,213,19,964,10,"RT @MarcoDaCostaFX: #WallStreet 🇺🇸 Most important confirmed #earnings dates for April: 

$CHWY $WBA $NFLX $KMX $STZ $BAC $LW $JPM $F $INTC…"
2020-04-14 19:48:16,United States,264,450,7986,0,"$KT #exports #5G service to #Taiwan... #VR signed 'Untapped' #business agreement

https://t.co/fMRTGnyadQ

$AAPL $AMZN $BA $CMCSA $FB $GOOG $INTC $MSFT $NFLX $NVDA $S $T $TMUS $TSLA $VZ $WMT $XOM #wallstreet #stockmarket #stocks #valueinvesting #money #finance #investors https://t.co/eNhvJ3sdfQ"
2020-04-14 19:35:45,"Baltimore, MD",423,23,1364,0,"One would suspect bandwidth within homes will need to be stronger as well as WiFi routers. What companies will benefit from this? Perhaps $CSCO or $NTGR. With more content on-demand, demand for cloud storage should continue to rise. $MSFT, $DLR, $VZ, $T

6/20

@tomkeene"
2020-04-14 19:34:07,United States,9,3123,1127,1,"$CMCSA $TGT $UN $COF $VZ $DIS:

NBCUniversal Launches Peacock Premium Early for Comcast Subscribers; ‘Evaluating�…:

https://t.co/K3dHcW4JwP"
2020-04-14 19:32:53,United States,264,450,7986,0,"$KT signs business agreement with #Doosan Fuel Cell in fuel cell #business

https://t.co/WBI8FlqDCz

$AAPL $AMZN $BA $CMCSA $FB $GOOG $INTC $MSFT $NFLX $NVDA $S $T $TMUS $TSLA $VZ $WMT $XOM #wallstreet #stockmarket #stocks #valueinvesting #money #finance #investors #investing https://t.co/3Jr6cWP7Gf"
2020-04-14 18:54:22,United States,5001,1672,105403,4,RT @TDANetwork: Everybody’s on their phones during the stay-at-home movement. What does that mean for the market’s major telecom names? 🤳…
2020-04-14 18:53:48,,2,4546,666978,4,RT @TDANetwork: Everybody’s on their phones during the stay-at-home movement. What does that mean for the market’s major telecom names? 🤳…
2020-04-14 18:41:21,Boston,674,1210,3210,4,RT @TDANetwork: Everybody’s on their phones during the stay-at-home movement. What does that mean for the market’s major telecom names? 🤳…
2020-04-14 18:41:03,Chicago,226,866,4828,0,"@SucksLynch Even if they don’t make that Q4 2018 mistake again, they’re an excellent retailer with closed stores. All the satellite stores ( $VZ $T $TMUS ) closed. $BBY closed. $AAPL strikes normally packed. Unemployed not upgrading phones. 

They pulled their broader guidance."
2020-04-14 18:37:12,ALWAYS DO YOUR OWN DUE DILIGENCE and READ OUR DISCLAIMERS,47,147,95,0,"FCEL up 7% today 🟩 projecting $50-60M in revenue for Q2. This implies a much higher share price. 
$GE $AMD $INO $PBR $F $T $OXY $VALE $WFC $ET $CMCSA $XOM $PFE $UBER $NOK $AAL $MRO $CSCO $SLB $ITUB $JPM $INTC $DIS $C $EPD $CZR $FB $NLY $VZ $CCL $SNAP $S $ABEV $HAL $MU $DAL $KMI https://t.co/Q8RxG25Ueq"
2020-04-14 18:20:46,,66,11,269,5,RT @ErnestMEdsel1: Eric Yuan of Zoom $ZM admits calls 'mistakenly' routed to China. Ditto every India #H1B backdoor bought by China #CCP at…
2020-04-14 18:19:45,StocksLand 💵🛢🔋⛽️,1591,4318,1422611,4,RT @TDANetwork: Everybody’s on their phones during the stay-at-home movement. What does that mean for the market’s major telecom names? 🤳…
2020-04-14 18:19:17,"Chicago, IL",1558,30430,7586,4,"Everybody’s on their phones during the stay-at-home movement. What does that mean for the market’s major telecom names? 🤳

👥 #TheWatchList panel @RogerEntner and New Street Research’s Jonathan Chaplin weigh in on $TMUS, $VZ, $T, $CHTR, and $CMCSA:"
2020-04-14 18:14:10,United States,3153,1389,117890,5,RT @ErnestMEdsel1: Eric Yuan of Zoom $ZM admits calls 'mistakenly' routed to China. Ditto every India #H1B backdoor bought by China #CCP at…
