createdAt,location,following,followers,totaltweets,retweetcount,text
2020-04-15 08:53:12,"11 Wall St, New York, NY 10005",2,192,67413,0,"$I $AM $ONE $EXAM $AT $ADS
$OUT $A $CUB
$MMM! $HE $ATE $FOR $MEN"
2020-04-15 07:24:23,"11 Wall St, New York, NY 10005",2,192,67413,0,"$FOR $A $GRAM
$MMM!
$IT $YELP $FOR $ADS"
2020-04-15 06:04:02,"Sydney, New South Wales",0,1178,17412,0,$NGI $EML $KGN $SRG $GSS $MMM This could be the best investment opportunity for ASX investors in a decade (via Motley Fool) https://t.co/2amIJYqNMY #NGI #NavigatorGlobalInvestments #EML #EMLPayments #KGN #Kogan.com #SRG #SRGGlobal #GSS #GeneticSignatures #MMM #MarleySpoon...
2020-04-15 06:00:02,"New York, USA",40,1658,83205,0,Short sale vol (not short interest) for $GLW on 2020-04-14 is 54%. https://t.co/TsnVQVqCJj $TMO 61% $MMM 37% $PPG 31% $OC 51%
2020-04-15 05:51:56,Australia,71,253,3445,0,Expecting $1ST time moves in $MMM once 4c is out #ASX Disc Held
2020-04-15 05:25:30,"11 Wall St, New York, NY 10005",2,192,67413,0,"$MMM! $IT $EARN $MY $KEY
$IM $EMO
$MET $ONE $ICE"
2020-04-15 05:07:17,,146,1571,2012,0,"$MMM At an important prior support line, bumped its head against it twice now, this week.  #technicalanalysis #daytrader #daytrading #optionstrader #optionstrading #blackboxstocks https://t.co/f6jpyr7MOA"
2020-04-15 05:06:36,USA,4650,2763,76542,0,"Peak profit for the last 6 expired option alerts for $MMM -4.38 % | 33.13 % | 79.49 % | 67.92 % | 80.47 % | 428.44 % |   
https://t.co/y4cQtVFBLA https://t.co/3A115J5kaM"
2020-04-15 04:58:31,USA,4650,2763,76542,0,"$MMM - Last six months, 33 option alerts peaked above 100% after they were triggered by the algo  
https://t.co/y4cQtVFBLA https://t.co/toFX1oGJos"
2020-04-15 04:54:28,USA,4650,2763,76542,0,"$MMM - View historical options performance for MMM 
https://t.co/y4cQtVFBLA https://t.co/kfn84iRbvg"
2020-04-15 04:22:10,,2,4546,666978,1,RT @bdazle21: @AsennaWealth $MMM is in the same boat
