createdAt,location,following,followers,totaltweets,retweetcount,text
2020-04-15 09:24:29,Australia,166,24900,10164,6,"RT @IGTV: US bank earnings today, watch out for an uplift in trading income. @JeremyNaylor_IG looks at the charts of Citigroup $C, Goldman…"
2020-04-15 09:21:36,New York,15,238,22123,0,"Earnings Scheduled For April 15, 2020 $GS $UNH $C $BAC $USB https://t.co/hXuocRvoFZ"
2020-04-15 09:17:38,ARGENTINA,79,179,5435,2,"RT @RANsquawk: Pre-market US earnings:

- $UNH @ 1055BST (7.8% DJIA weighting)
- $BAC, $USB and $PNC @ 1145BST
- $GS @ 1225BST (5.1% DJIA w…"
2020-04-15 09:15:38,USA,166,448,13975,2,"RT @RANsquawk: Pre-market US earnings:

- $UNH @ 1055BST (7.8% DJIA weighting)
- $BAC, $USB and $PNC @ 1145BST
- $GS @ 1225BST (5.1% DJIA w…"
2020-04-15 09:15:04,London,253,69779,100292,2,"Pre-market US earnings:

- $UNH @ 1055BST (7.8% DJIA weighting)
- $BAC, $USB and $PNC @ 1145BST
- $GS @ 1225BST (5.1% DJIA weighting) 
- $C @ 1300BST
- $PGR @ 1335BST"
2020-04-15 09:12:50,new york,663,318,49463,2,"RT @Kuli24: Free live call to everyone on twitter.  Don't miss another call like this.

Join now: https://t.co/8JczEOOmUo

$BAC $UNH $C $AP…"
2020-04-15 09:10:35,new york,663,318,49463,2,"RT @Kuli24: Free live call to everyone on twitter.  Don't miss another call like this.

Join now: https://t.co/8JczEOOmUo

$BAC $UNH $C $AP…"
2020-04-15 09:06:08,"London, England",109,364,331,6,"RT @IGTV: US bank earnings today, watch out for an uplift in trading income. @JeremyNaylor_IG looks at the charts of Citigroup $C, Goldman…"
2020-04-15 09:06:02,,2268,0,52620,6,"RT @IGTV: US bank earnings today, watch out for an uplift in trading income. @JeremyNaylor_IG looks at the charts of Citigroup $C, Goldman…"
2020-04-15 09:04:04,,264,26960,15813,6,"RT @IGTV: US bank earnings today, watch out for an uplift in trading income. @JeremyNaylor_IG looks at the charts of Citigroup $C, Goldman…"
2020-04-15 09:03:51,"London, England",1224,2270,1597,6,"RT @IGTV: US bank earnings today, watch out for an uplift in trading income. @JeremyNaylor_IG looks at the charts of Citigroup $C, Goldman…"
2020-04-15 09:03:17,London,1807,8114,14430,6,"RT @IGTV: US bank earnings today, watch out for an uplift in trading income. @JeremyNaylor_IG looks at the charts of Citigroup $C, Goldman…"
2020-04-15 09:02:59,,360,6746,6843,6,"US bank earnings today, watch out for an uplift in trading income. @JeremyNaylor_IG looks at the charts of Citigroup $C, Goldman Sachs $GS, Bank of America $BAC, and Morgan Stanley $MS. #trading #banks https://t.co/eC3aWiimSa https://t.co/TAhRm8lS0H"
2020-04-15 08:58:13,Singapore Bangkok Dubai,41976,44662,132490,0,"Next Up: Goldman Sachs Group Inc. (NYSE: GS) and Citigroup Inc. (NYSE: C): $GS, $C Goldman… https://t.co/jmbqiyZcpY"
2020-04-15 08:50:07,"California, USA",23,3692,7574,0,"Tuesday's Top Flow in #Financial Sector, Buy Flow and Sell Flow. $CINF $NDAQ $AXP $HBAN $C $TRV $NTRS $PGR $USB $CB $JPM $BAC $WFC $HST $DFS $ZION $GS $MS $PLD $STT #stocks #StockMarket #stockstowatch #StocksToTrade #stock #StockTrading #market #finance 
https://t.co/5JE2nlrW3B https://t.co/B0lfH2bhGM"
2020-04-15 08:39:06,,999,742,28097,0,"I remember when vertical integration was expensive, inflexible and a company killer. But when $tsla need more cash again and $GS smell some fees who cares eh @SF_SEC 

$tsla $Tslaq https://t.co/G2MPWqvE88"
2020-04-15 08:38:49,London,292,286,472,1,"RT @kyookine: $BAC
$C
$GS
$UNH
$USB

Notable earnings before Wednesday's open https://t.co/88CR593uXO
APHA, BAC, C, GS, PGR, PNC, SCHW, UNH…"
2020-04-15 08:36:00,"Manhattan, NY",7,1088,5251,0,"""Every once in a while, the market does something so stupid it takes your breath away."" - Jim Cramer $MS $INSG $TXT $PSTI $GME $MRK $GS $RTX $DBX $JD $CHRW $KSS $SPCE $JETS $USB $BK $JBLU $TSLA $PBYI $VKTX (For Investing/Trading ideas join https://t.co/AEjWYUTXy1 it's FREE)"
2020-04-15 08:28:36,Chiba　Japan,408,1714,135392,1,"$BAC
$C
$GS
$UNH
$USB

Notable earnings before Wednesday's open https://t.co/88CR593uXO
APHA, BAC, C, GS, PGR, PNC, SCHW, UNH, USB"
2020-04-15 08:26:59,BKK,1900,2061,184583,0,"Wednesday's earnings rpts incl:
Pre-Market:  $BAC $C $GS $PNC $PGR $USB $UNH
After-Hours:  $BBBY"
2020-04-15 08:25:14,"New York, NY",3356,9826,11693,0,"Ready for round 2?

$BAC $C $GS"
2020-04-15 08:25:06,,98,111,8927,19,RT @Investingcom: 🚨 TUESDAY NIGHT FUTURES OPEN LITTLE CHANGED AS MARKETS BRACE FOR MORE BANK EARNINGS TOMORROW AND THE WORST RETAIL SALES R…
2020-04-15 08:24:50,NYC | London,337,1040,415,0,$GS 3M Momentum signal a price rally ordinarily takes place in GS:NYSE - The Group from here (https://t.co/pYYdOnbrbr) TOGGLEbot @RANsquawk https://t.co/xc40UzYG05
2020-04-15 08:23:42,NYC | London,337,1040,415,0,$GS 3M Momentum signal a price rally ordinarily takes place in GS:NYSE - The Group from here (https://t.co/pYYdOnbrbr) TOGGLEbot @RANsquawk https://t.co/hpZaFLHSLI
2020-04-15 08:23:36,NYC | London,337,1040,415,0,$GS 3M Momentum signal a price rally ordinarily takes place in GS:NYSE - The Group from here (https://t.co/pYYdOnbrbr) TOGGLEbot @RANsquawk https://t.co/SMFMD8hJGS
2020-04-15 08:06:52,Monrovia,1,40,5876,0,"$GS Apr14
$178.23(-0.5%) $174.54‒$183.38 x̄=$177.79
Volume:  70/100
σ: 51.6 (-4.0)  73/100
⸻Calls⸻
Exposure:  1.72B(+8.2%)
Value≈$96.5M(-10.7%)
Inflows≈$2.49M
⸻Puts⸻
Exposure:  2.14B(+5.2%)
Value≈$261M(+1.6%)
Inflows≈$2.60M"
2020-04-15 08:01:16,,133,125,271,0,"Morning Update: 
- S&amp;P futures down 1%
- China cuts rates &amp; lowers one-year medium term lending to 2.95% 
- Trump cuts WHO funding 
- Earnings from $BAC $MS $GS $DAL today as markets seem uncertain on how to react while earnings get released.
- $BTC in the realm of indecision https://t.co/Ah800heicx"
2020-04-15 07:47:45,,4208,3480,174880,32,RT @OMillionaires: $GS initiates coverage of $TSLA w/Buy rating and $864 PT
2020-04-15 07:45:46,,1172,70,3452,0,"#earnings today (wed 4/15/20)

$bac $c $unh $gs $bx $bby $dal $dov $dhr $hon $rad $wmt https://t.co/ZVWTbHfhGa"
