createdAt,location,following,followers,totaltweets,retweetcount,text
2020-04-15 10:41:41,,4523,15956,44745,0,"$UNH reported earnings of $3.72, consensus was $3.65, Earnings Whisper was $3.68 via @eWhispers #whisperbeat https://t.co/PQaNbS9sIF"
2020-04-15 10:41:35,,277,5,38,2,"RT @berthacoombs: $UNH higher pre-market after reporting Q1 adj. $3.72 eps beat, on $64.4 billion; maintains 2020 guidance
Optum CEO Andrew…"
2020-04-15 10:41:18,New York,690,15688,20391,0,"In the ESG era, this earnings season we will probably hear a lot from companies about what they're doing to help in the pandemic.
Among $UNH #Covid efforts:
-committed $60 million in support for hard hit areas
- two executives are serving to establish New Jersey's field hospitals"
2020-04-15 10:41:12,"Winnipeg, Manitoba",1,3605,183695,0,"$UNH UnitedHealth Group Provides Expansive Support to COVID-19 Response Efforts, Reports Balanced First Quarter https://t.co/Z3JQ7ZqgEh"
2020-04-15 10:39:16,,4222,3484,174959,1,RT @DougKass: Agree. $UNH now +3.5% in premarket (strengthening from guy's comment) and DJIA futures are back down to levels before the $UN…
2020-04-15 10:38:20,New York,690,15688,20391,0,"$UNH says ""we will not request, nor do we intend to retain, any government assistance.""

United's Optum unit has 30K doctors, who could have requested #Covid19 relief funding.

The firm has also said it will donate any fees for disbursing the first tranche of funds last week."
2020-04-15 10:36:08,United States,9,3124,1141,0,"$UNH:

UnitedHealth’s first-quarter profit falls 2.5%:

https://t.co/SUzI67aqeT"
2020-04-15 10:34:47,Currently planet Earth.,93,2173,6618,0,"$UNH(270.50) up 5.5 
UnitedHealth beats by $0.07, reports revs in-line; reaffirms FY20 EPS guidance"
2020-04-15 10:34:06,,0,1627,430974,0,$UNH UnitedHealth Group Incorporated SEC Filing: Form 8-K https://t.co/8sNlp1DXct
2020-04-15 10:34:02,U.S.A.,42,1335,410827,0,$UNH - UnitedHealth's Witty to Assist WHO in Covid-19 Vaccine Efforts https://t.co/TDIu9Smv6z
2020-04-15 10:32:52,,222,39,1516,0,"$UNH maintains FY outlook of Adj. net earnings of 
$16.25-$16.55 vs. $16.22 est."
2020-04-15 10:29:46,,222,39,1516,0,"$UNH Q1 Adj. EPS beat $3.72 vs. $3.63, sales also beat $64.42 vs. 64.22 est."
2020-04-15 10:26:39,"Toronto, Ontario",685,78,2052,5,"RT @OptionsMike: Good Morning!

Futures down no particular news...

$MRNA pt upped to 43 @ Oppenheimer was 31

$WFC PT Lowered to $25 at Je…"
2020-04-15 10:23:40,"Barquisimeto , Venezuela",4982,1309,201368,3,"RT @gualestrit: UnitedHealth

- Ingresos: $64,400M vs $64,000M est
- EPS: $3.72 vs $3.63 est

$UNH +2.0% premarket"
2020-04-15 10:22:03,"Palm Beach, Florida 33480",3179,101287,89062,1,"Agree. $UNH now +3.5% in premarket (strengthening from guy's comment) and DJIA futures are back down to levels before the $UNH report. 
He just makes crap up. Many do. https://t.co/BtROY5qGHb"
2020-04-15 10:21:36,New York,15,238,22139,0,UnitedHealth first-quarter profit falls 2.5% $UNH https://t.co/UNNv01PDPa
2020-04-15 10:20:00,New York,1123,1696,5004,1,RT @biotechhack: $UNH Sir Andrew Witty to take leave of absence from UnitedHealth Group to co-lead WHO efforts to accelerate a COVID-19 vac…
2020-04-15 10:19:13,"New York, USA",959,1039,4706,1,$UNH Sir Andrew Witty to take leave of absence from UnitedHealth Group to co-lead WHO efforts to accelerate a COVID-19 vaccine
2020-04-15 10:19:09,,267,91,476,5,"RT @OptionsMike: Good Morning!

Futures down no particular news...

$MRNA pt upped to 43 @ Oppenheimer was 31

$WFC PT Lowered to $25 at Je…"
2020-04-15 10:19:08,United States,9,3124,1141,0,"$UNH:

UnitedHealth Beats Q1 Earnings Forecast, Holds 2020 Profit Guidance; Optum CEO Witty Taking Leave of Absence:

https://t.co/zUCRr5mwkV"
2020-04-15 10:18:58,,122,5,34,2,"RT @berthacoombs: $UNH higher pre-market after reporting Q1 adj. $3.72 eps beat, on $64.4 billion; maintains 2020 guidance
Optum CEO Andrew…"
2020-04-15 10:17:09,,679,170,1858,1,"RT @MarketCurrents: $UNH - UnitedHealth EPS beats by $0.05, beats on revenue https://t.co/px5ZD4Ypl3"
