createdAt,location,following,followers,totaltweets,retweetcount,text
2020-04-15 10:44:16,,1363,197,47924,0,$PXD $PE $XOM - Texas oil production cut proposal stirs up anger on both sides https://t.co/xQs0l095bL
2020-04-15 10:24:44,,182,163,2891,0,$XOM  Setting up some Friday Lotto's? https://t.co/gF1L7Wfngp
2020-04-15 10:00:09,United States,9,3122,1146,0,"$CLR $FANG $XOM $CVX $WLL:

Glutted Oil Markets’ Next Worry: Subzero Prices:

https://t.co/aYgIqFC9uD"
2020-04-15 09:56:13,,1207,125,367,0,"""StockBeat: Oil &amp; Gas Stocks Take Another Dive After IEA Report""
$SPY $SPX $QQQ $ES_F $NQ_F $RTY_F $ZB_F $GC_F $NDX $RUT $AAPL $NFLX $AMZN $TSLA $FB $MSFT $DIA $NDX $IWM $QCOM $GDX $DAX $BYND $TWTR $GLD $SLV $GE_F $BABA $TLT $LYFT $VXX $TVIX $VIX $XLE $XOM
https://t.co/6Wdfvi2s9b"
2020-04-15 09:51:14,,87,7,202,38,"RT @UpsideMakers: GOD BLESS JEROME POWELL! 💰🚀 
$DJI $SPY $SPX $AAPL $BA $XOM https://t.co/ueUoQCsuYD"
2020-04-15 09:49:08,United States,9,3122,1146,0,"$XOM $CVX:

US Crude Back Below $20 a Barrel As IEA Sees Historic Collapse In Global Demand:

https://t.co/95n85q6QUl"
2020-04-15 09:34:56,"Tampa, FL",2005,505,5500,1,RT @TurritopsisInv: #US #Shale rude awakening courtesy of Scott Sheffield $PXD $CHK reverse stock split 1/200 and $XOM is almost 10x more l…
2020-04-15 08:07:34,"Sunnyvale, CA",793,2710,534951,0,"$XOM in Uptrend: price expected to rise as it breaks its lower Bollinger Band on March 12, 2020. View odds for this and other indicators: https://t.co/Zujm6e4Vu2 #ExxonMobil #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today https://t.co/4si9GqOc6r"
2020-04-15 08:00:58,,1575,848,70275,0,"$CVX &amp; $XOM bounce into the zone/#levels to TP esp any bought dip after Mar 20 , for trading purpose that meet the trade set up https://t.co/O0Gva5v2FK https://t.co/MNt9BqowgT"
2020-04-15 06:42:08,"Bellevue, WA",368,18,1175,1,RT @OptiontradinIQ: Trade Idea 8: $XOM Bear Call Spread https://t.co/FwLHUHMOsx
2020-04-15 06:02:16,,755,10501,11114,1,Trade Idea 8: $XOM Bear Call Spread https://t.co/FwLHUHMOsx
2020-04-15 05:56:40,"Davao City, Philippines",42,241,12429,3,"RT @shareslanger: $ALPP 🔥1,900 Views🔥 

✅ Manufacturing #COVID19 Air Particle Detection Equipment 👇

✅ Chart Ready To POP 

$AYTU $LLIT $IB…"
2020-04-15 05:34:12,"La Porte, TX",447,201,5353,0,"So much noise in #Oil
$XOM $OXY $MGY $MRO $BP $TOT $EQNR $CVX https://t.co/PsiOcbPUvS"
2020-04-15 05:27:20,"California, USA",787,740,8752,3,"RT @shareslanger: $ALPP 🔥1,900 Views🔥 

✅ Manufacturing #COVID19 Air Particle Detection Equipment 👇

✅ Chart Ready To POP 

$AYTU $LLIT $IB…"
2020-04-15 05:16:08,Enron Complex,321,900,1617,0,"(Bloomberg) U.S. energy giant, Exxon Mobil $XOM will pause drilling work off the southeast coast of Australia for the rest of the year “due to Covid-19 related challenges,” the company said in a statement.

#EFT commented: https://t.co/VHkZCYxxJJ"
2020-04-15 05:15:28,"Texas, USA",775,1524,9689,3,"RT @shareslanger: $ALPP 🔥1,900 Views🔥 

✅ Manufacturing #COVID19 Air Particle Detection Equipment 👇

✅ Chart Ready To POP 

$AYTU $LLIT $IB…"
