createdAt,location,following,followers,totaltweets,retweetcount,text
2020-04-15 12:06:56,,257,94,1024,0,"I Can't Vote For Biden Or Trump But Pray For A 1 Term Trump 

$aapl $amzn $agn $brk $bhc $ba $cat $f $ge $gm $hlf $iep $crm $cmg $googl $jnj $wfc $bac $ms $gs $jpm $c $cs $msft $nflx $fb $tst $qsr $hd $tsla $yelp $grub $ko $ibm $pep $mnst $cat $unh $teva $pfe $cpe https://t.co/GA6bVtHCV9"
2020-04-15 12:01:13,,257,94,1024,0,"I Never!!

$aapl $amzn $agn $brk $bhc $ba $cat $f $ge $gm $hlf $iep $crm $cmg $googl $jnj $wfc $bac $ms $gs $jpm $c $cs $msft $nflx $fb $tst $qsr $hd $tsla $yelp $grub $ko $ibm $pep $mnst $cat $unh $teva $pfe $cpe https://t.co/Imz8C0K4w8"
2020-04-15 11:59:49,,5,1397,1026990,0,Caterpillar Inc. $CAT To Go Ex-Dividend on April 17th https://t.co/MzhmW3QfAd
2020-04-15 11:57:35,,42,752,638297,0,Caterpillar Inc. $CAT To Go Ex-Dividend on April 17th https://t.co/xn56xmg5tT
2020-04-15 11:49:42,,257,94,1024,0,"$GS Is Down After Earnings As Tangible BV Shrinks 

$aapl $amzn $agn $brk $bhc $ba $cat $f $ge $gm $hlf $iep $crm $cmg $googl $jnj $wfc $bac $ms $gs $jpm $c $cs $msft $nflx $fb $tst $qsr $hd $tsla $yelp $grub $ko $ibm $pep $mnst $cat $unh $teva $pfe $cpe"
2020-04-15 11:46:58,,11,16,595,0,"$cat sliding too bad I have only 1 contract, still happy to have some profit on open.. $FB had stopped out yesterday else would have made money too.."
2020-04-15 11:40:53,,257,94,1024,0,"Trump Got His Invisible Enemy All Wrong Then Had To Play Catch Up. Too Late For Many.

$aapl $amzn $agn $brk $bhc $ba $cat $f $ge $gm $hlf $iep $crm $cmg $googl $jnj $wfc $bac $ms $gs $jpm $c $cs $msft $nflx $fb $tst $qsr $hd $tsla $yelp $grub $ko $ibm $pep $mnst $cat $unh $pfe https://t.co/U14PYJH00N"
2020-04-15 11:35:45,,257,94,1024,0,"Trump Was Wrong On China &amp; The UK? NO WAY! 

$aapl $amzn $agn $brk $bhc $ba $cat $f $ge $gm $hlf $iep $crm $cmg $googl $jnj $wfc $bac $ms $gs $jpm $c $cs $msft $nflx $fb $tst $qsr $hd $tsla $yelp $grub $ko $ibm $pep $mnst $cat $unh $teva $pfe $cpe https://t.co/k8mwQ0K3yN"
2020-04-15 11:27:57,,257,94,1024,0,"Seems Someone Doesn't Want To Know The Numbers? 

$aapl $amzn $agn $brk $bhc $ba $cat $f $ge $gm $hlf $iep $crm $cmg $googl $jnj $wfc $bac $ms $gs $jpm $c $cs $msft $nflx $fb $tst $qsr $hd $tsla $yelp $grub $ko $ibm $pep $mnst $cat $unh $teva $pfe $cpe https://t.co/WDZycjfAXG"
2020-04-15 11:18:54,,257,94,1024,0,"Another Great Wealth Transfer Persists

$aapl $amzn $agn $brk $bhc $ba $cat $f $ge $gm $hlf $iep $crm $cmg $googl $jnj $wfc $bac $ms $gs $jpm $c $cs $msft $nflx $fb $tst $qsr $hd $tsla $yelp $grub $ko $ibm $pep $mnst $cat $unh $teva $pfe $cpe https://t.co/xZVbwKYcUn"
