createdAt,location,following,followers,totaltweets,retweetcount,text
2020-04-15 12:24:52,,51,2,463,16,RT @HedgeyeFIG: $JPM showing debit and credit card sales volumes Y/Y for select categories in its earnings release this morning. That T&amp;E n…
2020-04-15 12:24:06,United States,9,3124,1175,0,"$BCS $AXP $RBS:

Bain Capital is leading this round of fundraising while Industry Ventures, a new investor, is also …:

https://t.co/Ej479P77xC"
2020-04-15 12:17:31,"Houston, TX",633,213,4325,16,RT @HedgeyeFIG: $JPM showing debit and credit card sales volumes Y/Y for select categories in its earnings release this morning. That T&amp;E n…
2020-04-15 12:17:11,"Stamford, Connecticut",424,71624,55989,16,RT @HedgeyeFIG: $JPM showing debit and credit card sales volumes Y/Y for select categories in its earnings release this morning. That T&amp;E n…
2020-04-15 09:19:04,worldwide,3488,3120,45496,1,"RT @Tickeron: $AXP enters a Downtrend as Momentum Indicator dropped below the 0 level on April 14, 2020. View odds for this and other indic…"
2020-04-15 09:17:50,"Sunnyvale, CA",793,2707,535043,1,"$AXP enters a Downtrend as Momentum Indicator dropped below the 0 level on April 14, 2020. View odds for this and other indicators: https://t.co/RCOxMrlqnZ #AmericanExpress #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today https://t.co/U4e2MxPlUU"
2020-04-15 08:50:07,"California, USA",23,3693,7574,0,"Tuesday's Top Flow in #Financial Sector, Buy Flow and Sell Flow. $CINF $NDAQ $AXP $HBAN $C $TRV $NTRS $PGR $USB $CB $JPM $BAC $WFC $HST $DFS $ZION $GS $MS $PLD $STT #stocks #StockMarket #stockstowatch #StocksToTrade #stock #StockTrading #market #finance 
https://t.co/5JE2nlrW3B https://t.co/B0lfH2bhGM"
2020-04-15 07:05:33,,10,1186,1109295,0,American Express $AXP Price Target Cut to $112.00 https://t.co/Lb8Xe7Dvli
2020-04-15 07:03:46,"Florida, USA",17,547,611272,0,American Express $AXP Price Target Cut to $112.00 https://t.co/xEtYHJplSC
2020-04-15 07:03:39,United States,20,161,272557,0,American Express $AXP Price Target Cut to $112.00  https://t.co/rqeq2OaJ4w
