createdAt,location,following,followers,totaltweets,retweetcount,text
2020-04-15 12:43:57,,1,1,16,0,"@stoolpresidente you ready for today’s picks?

$RTX - $65.65 Long
$HYG - $80.68 Short
$CAT - $113.00 Short
$TSLA - $742.44 Short
$AAL - $12.55 Long
$CCL - $11.93 Long
$DIS - $103.50 Long
$MSFT - $170.70 Long
$BA - Fuck ‘Em"
2020-04-15 11:55:37,"Pennsylvania, USA",159,83,2865,0,"$RTX strong, held a 65c runner lookin for a test of 70"
2020-04-15 11:52:08,,40,1432,1056914,0,Goldman Sachs Group Reaffirms “Buy” Rating for United Technologies $RTX https://t.co/UvQDU7THZ4
2020-04-15 11:51:19,"Florida, USA",17,547,611338,0,Goldman Sachs Group Reaffirms “Buy” Rating for United Technologies $RTX https://t.co/8gJ4YiinHK
2020-04-15 11:51:10,,267,92,490,0,Airlines not having to give up much equity in bailout bullish AF the stocks.. $JETS $UAL $DAL $LUV $ALK all ripping +6% or more &amp; should too. Helps $RTX &amp; $BA too. Can hate the game all you want.. but only hurts the soul wishing for shit that isn't reality. Some zero rev is fine. https://t.co/GX2LIqTxMw
2020-04-15 10:44:36,,222,39,1560,0,"$RTX Goldman Sachs Reinstates Buy on Raytheon Technologies, Announces $76 Price Target"
2020-04-15 08:42:13,,1,4713,109429,0,Goldman Sachs Reinstates Raytheon Technologies Corp. $RTX at Buy https://t.co/VjBTtj2vRz
2020-04-15 08:36:00,"Manhattan, NY",7,1088,5255,0,"""Every once in a while, the market does something so stupid it takes your breath away."" - Jim Cramer $MS $INSG $TXT $PSTI $GME $MRK $GS $RTX $DBX $JD $CHRW $KSS $SPCE $JETS $USB $BK $JBLU $TSLA $PBYI $VKTX (For Investing/Trading ideas join https://t.co/AEjWYUTXy1 it's FREE)"
2020-04-15 07:59:02,United States,1285,3649,625892,0,Wondering about risks of $RTX? The 63-day volatility is 59.53% https://t.co/ssgL7L4tMY
2020-04-15 07:36:00,"Manhattan, NY",7,1088,5255,0,Investing Quote: “Our favorite holding period is forever.” $ENPH $SONN $GME $TSLA $BBBY $XOP $MS $SPCE $CFG $WING $AAL $CHRW $NFLX $RTX $JBHT $MTA $ECC $JD $GS $PSTI (For Investing/Trading ideas join https://t.co/AEjWYUTXy1 it's FREE)
2020-04-15 07:31:34,"Florida, USA",17,547,611338,0,Analyzing United Technologies $RTX and Heico $HEI.A https://t.co/VpsMNZjlpZ
2020-04-15 06:43:08,"Florida, USA",17,547,611338,0,Investors Buy High Volume of Put Options on United Technologies $RTX https://t.co/GDcaLeGtIw
2020-04-15 06:19:02,United States,1285,3649,625892,0,We calculated 21-day Expected Return of $RTX for you: -25.1% https://t.co/mjY5x7D1Jn
2020-04-15 06:10:17,United States,35,519,525516,0,Heico $HEI vs. United Technologies $RTX Head to Head Survey https://t.co/WeMH3Up2Ot
