createdAt,location,following,followers,totaltweets,retweetcount,text
2020-04-15 12:56:01,Content is not advice,118,14000,9574,0,"Live Market Update from the CMC dealing desk - US Opening Calls:
#NDX 8530  -1.87%
#SPX 2768  -2.76%
#DOW 23409  -2.26%

Prices are indicative only. 
$NDX $SPX $DOW $ES_F $NQ"
2020-04-15 12:55:00,Birmingham ,78,62,4488,11,"RT @Lakshmi_888: #ES_F #Dow $NQ $RUT #DAX #FTSE $ES_F $QQQ $Dow

All 3 targets hit; 600pts secured.Likewise $SPXs chart I have

Didnt post…"
2020-04-15 12:50:12,,124,6,372,11,"RT @Lakshmi_888: #ES_F #Dow $NQ $RUT #DAX #FTSE $ES_F $QQQ $Dow

All 3 targets hit; 600pts secured.Likewise $SPXs chart I have

Didnt post…"
2020-04-15 12:45:17,,267,287,35980,11,"RT @Lakshmi_888: #ES_F #Dow $NQ $RUT #DAX #FTSE $ES_F $QQQ $Dow

All 3 targets hit; 600pts secured.Likewise $SPXs chart I have

Didnt post…"
2020-04-15 12:44:16,,39,1,1,11,"RT @Lakshmi_888: #ES_F #Dow $NQ $RUT #DAX #FTSE $ES_F $QQQ $Dow

All 3 targets hit; 600pts secured.Likewise $SPXs chart I have

Didnt post…"
2020-04-15 12:41:07,,22,26,153,11,"RT @Lakshmi_888: #ES_F #Dow $NQ $RUT #DAX #FTSE $ES_F $QQQ $Dow

All 3 targets hit; 600pts secured.Likewise $SPXs chart I have

Didnt post…"
2020-04-15 12:39:56,USA,24,38,153,11,"RT @Lakshmi_888: #SPX $SPX #ES_F #Dow $NQ #NQ #NDX $RUT #DAX #FTSE $ES_F $QQQ $Dow

Based on this chart alone (there are others so pls see)…"
2020-04-15 12:39:37,USA,24,38,153,8,"RT @Lakshmi_888: #SPX $SPX #ES_F #Dow $NQ #NQ #NDX $RUT #DAX #FTSE $ES_F $QQQ $Dow

Waited weeks but all targets hit for this

#Patience  p…"
2020-04-15 12:39:18,USA,24,38,153,11,"RT @Lakshmi_888: #ES_F #Dow $NQ $RUT #DAX #FTSE $ES_F $QQQ $Dow

All 3 targets hit; 600pts secured.Likewise $SPXs chart I have

Didnt post…"
2020-04-15 12:36:45,United Kingdom,109,44,2829,11,"RT @Lakshmi_888: #ES_F #Dow $NQ $RUT #DAX #FTSE $ES_F $QQQ $Dow

All 3 targets hit; 600pts secured.Likewise $SPXs chart I have

Didnt post…"
2020-04-15 12:36:18,France,185,1604,7263,0,Today did much better in $NQ than $DOW https://t.co/RkjdFSZUEE
2020-04-15 12:36:08,"California, USA",95,10,212,11,"RT @Lakshmi_888: #ES_F #Dow $NQ $RUT #DAX #FTSE $ES_F $QQQ $Dow

All 3 targets hit; 600pts secured.Likewise $SPXs chart I have

Didnt post…"
2020-04-15 12:35:53,,52,25,2798,11,"RT @Lakshmi_888: #ES_F #Dow $NQ $RUT #DAX #FTSE $ES_F $QQQ $Dow

All 3 targets hit; 600pts secured.Likewise $SPXs chart I have

Didnt post…"
2020-04-15 12:35:23,Deutschland,85,45,302,11,"RT @Lakshmi_888: #ES_F #Dow $NQ $RUT #DAX #FTSE $ES_F $QQQ $Dow

All 3 targets hit; 600pts secured.Likewise $SPXs chart I have

Didnt post…"
2020-04-15 12:35:20,,24,3,85,11,"RT @Lakshmi_888: #ES_F #Dow $NQ $RUT #DAX #FTSE $ES_F $QQQ $Dow

All 3 targets hit; 600pts secured.Likewise $SPXs chart I have

Didnt post…"
2020-04-15 12:34:56,"London, England",636,2625,13413,11,"#ES_F #Dow $NQ $RUT #DAX #FTSE $ES_F $QQQ $Dow

All 3 targets hit; 600pts secured.Likewise $SPXs chart I have

Didnt post these charts or others frm yday eve as observed 99%+ *still* too selfish to R/T charts to help others so figured no point me bothering too🙄

GL this aftrn:) https://t.co/avnTksUZUx"
2020-04-15 11:23:05,"California, USA",95,10,212,11,"RT @Lakshmi_888: #SPX $SPX #ES_F #Dow $NQ #NQ #NDX $RUT #DAX #FTSE $ES_F $QQQ $Dow

Based on this chart alone (there are others so pls see)…"
2020-04-15 10:57:09,,24,447,3601,0,@Elliott_Wellen Nice $DOW short 🙏thanks
2020-04-15 10:35:10,"Sunnyvale, CA",793,2707,535086,0,$DOW in Uptrend: RSI indicator exits oversold zone. View odds for this and other indicators: https://t.co/xL1DYRslAv #Dow #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today https://t.co/8h7dKdZSsP
2020-04-15 09:54:53,"London, UK ",53,21,63,6,"RT @Lakshmi_888: $SPX #ES_F #Dow $NQ $RUT #DAX #FTSE $Dow

2850-2880 and 2910-2930 zones that bulls are watching

Drop can still occur of 1…"
2020-04-15 08:51:14,France,185,1604,7263,0,I'm late to the party..but got some $DOW https://t.co/ZQwuPl3HKT
2020-04-15 08:18:11,"Vienna, Austria",1064,11725,54568,0,"Wall Street falls in premarket as US stops WHO funding
#markets $DOW $NDX $INX 
https://t.co/fHGuICEuOS"
2020-04-15 06:17:36,,251,34,303,0,Cramer says btfd $dow $spx https://t.co/0XW9TMPWEa
2020-04-15 05:42:20,,307,133,672,13,"RT @Lakshmi_888: #SPX $SPX #ES_F #Dow $NQ #NQ #NDX $RUT #DAX #FTSE $ES_F $QQQ $Dow

97 pts later and....🎯🤸‍♀️

$SPX

Yeah yeah, we may get…"
2020-04-15 04:33:03,"California, USA",1984,875,37793,0,"@maggieNYT 1,200 $DOW points that day alone. Manipulation."
2020-04-15 04:12:16,"San Jose, CA",172,41,479,0,"Endless OIL Pumping, Unregulated Country, #OPEC $oil $wti #oil #future $dow $spy https://t.co/gCFNhqRo78"
2020-04-15 04:09:54,"Seoul, Republic of Korea",308,155,1292,1,"RT @TTCSteve: $YM $DOW

Looks pretty good... https://t.co/TiDk6AtQ3L"
2020-04-15 04:08:20,,33,1199,10273,1,"$YM $DOW

Looks pretty good... https://t.co/TiDk6AtQ3L"
2020-04-15 03:43:40,,0,175,66812,0,$DOW reasonable changes in stock price 2.30 % change recently https://t.co/F2vpGnyzgq
2020-04-15 03:40:01,"Pembroke Pines, FL",107,416,1269,0,"The justification for this ""monster rally"" seems to be that markets are ""Forward-Looking"".

Why were they trapped at ATH, in spite of knowledge about #coronavirus ravaging China?

#BS

$trade $option  $stocks $NQ $YM $DOW $CL $NG $AAPL $SPX $ES $iwm $rty $SPY $gld $gc $ZB $TLT"
2020-04-15 02:57:51,France,449,365,14428,1,RT @damien_juge: $DOW : double top 24000 ?
2020-04-14 23:39:40,,33,1199,10273,0,"$YM $DOW

So price has extended through the 13th cycle window, but it hasn't breached price levels. Possible the cycle was just the viral peak and prices take another few days to week for the turn. April into June remains the main window for the wave v of C of IV completion."
2020-04-14 23:02:30,,24,447,3601,0,"Pro Tip2:
Read Tweets without your corrupt mind and bias, trust me, key level tweets will be much clearer!

$SPX $NDX #ES_F $SPY $YM $DOW $FDAX $DAX $FTSE https://t.co/YDuGux5DOB"
