createdAt,location,following,followers,totaltweets,retweetcount,text
2020-04-15 13:09:48,South Africa & Europe,8,58,13346,0,3 Top U.S. Stocks to Watch in April @themotleyfool #stocks $KO $PG $CMG https://t.co/3f2UWbTU5S
2020-04-15 13:08:16,,18,196,426,0,"Intense red on the US Stocks Pre-Market

$AAL $AA $AAPL $AMZN $CSCO $DIS $FB $GOOG $INTC $JPM $KO $MCD $MSFT $NFLX $PFE $X https://t.co/enkkS6ZAVr"
2020-04-15 12:53:28,,257,94,1025,0,"Well, I'll Check Back In A Couple Of Days. 

$aapl $amzn $agn $brk $bhc $ba $cat $f $ge $gm $hlf $iep $crm $cmg $googl $jnj $wfc $bac $ms $gs $jpm $c $cs $msft $nflx $fb $tst $qsr $hd $tsla $yelp $grub $ko $ibm $pep $mnst $cat $unh $teva $pfe $cpe https://t.co/LbK4oFfHOq"
2020-04-15 12:48:51,"London, England",1902,323,561,0,"PRICE TARGETS UPDATED $TSLA $1000, $KO $54, $AAPL $310, $AMZN $2500, $JPM $110, $FB $195, $MCD $210, $SAFM potential cut but targeting $150, $MELI $625"
2020-04-15 12:44:07,"Toronto, ON, Canada",239,222,313,0,"@EMF_01 $QSR, $NKE, $WN, $L, $KO and $CNQ have already paid but I expect a lot more to come and my first payout from $RIO which I am excited about"
2020-04-15 12:38:10,,1836,4949,16342,0,$KO Is Coca-Cola Stock the Real Deal? https://t.co/S1iQiEzgbG
2020-04-15 12:14:38,"Leawood, Kansas",889,10721,47543,2,"RT @phoenixvalue: $XLP $SPY Interesting read from Fayez Sarofim &amp; Co. published Q2 2009, making the case for consumer staples stocks as gre…"
2020-04-15 12:06:56,,257,94,1025,0,"I Can't Vote For Biden Or Trump But Pray For A 1 Term Trump 

$aapl $amzn $agn $brk $bhc $ba $cat $f $ge $gm $hlf $iep $crm $cmg $googl $jnj $wfc $bac $ms $gs $jpm $c $cs $msft $nflx $fb $tst $qsr $hd $tsla $yelp $grub $ko $ibm $pep $mnst $cat $unh $teva $pfe $cpe https://t.co/GA6bVtHCV9"
2020-04-15 12:01:13,,257,94,1025,0,"I Never!!

$aapl $amzn $agn $brk $bhc $ba $cat $f $ge $gm $hlf $iep $crm $cmg $googl $jnj $wfc $bac $ms $gs $jpm $c $cs $msft $nflx $fb $tst $qsr $hd $tsla $yelp $grub $ko $ibm $pep $mnst $cat $unh $teva $pfe $cpe https://t.co/Imz8C0K4w8"
2020-04-15 11:49:42,,257,94,1025,0,"$GS Is Down After Earnings As Tangible BV Shrinks 

$aapl $amzn $agn $brk $bhc $ba $cat $f $ge $gm $hlf $iep $crm $cmg $googl $jnj $wfc $bac $ms $gs $jpm $c $cs $msft $nflx $fb $tst $qsr $hd $tsla $yelp $grub $ko $ibm $pep $mnst $cat $unh $teva $pfe $cpe"
2020-04-15 11:40:53,,257,94,1025,0,"Trump Got His Invisible Enemy All Wrong Then Had To Play Catch Up. Too Late For Many.

$aapl $amzn $agn $brk $bhc $ba $cat $f $ge $gm $hlf $iep $crm $cmg $googl $jnj $wfc $bac $ms $gs $jpm $c $cs $msft $nflx $fb $tst $qsr $hd $tsla $yelp $grub $ko $ibm $pep $mnst $cat $unh $pfe https://t.co/U14PYJH00N"
2020-04-15 11:35:45,,257,94,1025,0,"Trump Was Wrong On China &amp; The UK? NO WAY! 

$aapl $amzn $agn $brk $bhc $ba $cat $f $ge $gm $hlf $iep $crm $cmg $googl $jnj $wfc $bac $ms $gs $jpm $c $cs $msft $nflx $fb $tst $qsr $hd $tsla $yelp $grub $ko $ibm $pep $mnst $cat $unh $teva $pfe $cpe https://t.co/k8mwQ0K3yN"
2020-04-15 11:27:57,,257,94,1025,0,"Seems Someone Doesn't Want To Know The Numbers? 

$aapl $amzn $agn $brk $bhc $ba $cat $f $ge $gm $hlf $iep $crm $cmg $googl $jnj $wfc $bac $ms $gs $jpm $c $cs $msft $nflx $fb $tst $qsr $hd $tsla $yelp $grub $ko $ibm $pep $mnst $cat $unh $teva $pfe $cpe https://t.co/WDZycjfAXG"
2020-04-15 11:18:54,,257,94,1025,0,"Another Great Wealth Transfer Persists

$aapl $amzn $agn $brk $bhc $ba $cat $f $ge $gm $hlf $iep $crm $cmg $googl $jnj $wfc $bac $ms $gs $jpm $c $cs $msft $nflx $fb $tst $qsr $hd $tsla $yelp $grub $ko $ibm $pep $mnst $cat $unh $teva $pfe $cpe https://t.co/xZVbwKYcUn"
2020-04-15 10:47:15,,257,94,1025,0,"An Increase In New Daily US #Coronavirus Cases &amp; The Death Rate Is NOT Good News

$aapl $amzn $agn $brk $bhc $ba $cat $f $ge $gm $hlf $iep $crm $cmg $googl $jnj $wfc $bac $ms $gs $jpm $c $cs $msft $nflx $fb $tst $qsr $hd $tsla $yelp $grub $ko $ibm $pep $mnst $cat $unh $teva $pfe https://t.co/im4ehg4OXE"
2020-04-15 10:44:13,,257,94,1025,0,"#US Coronavirus Death Rate Climbs To 4.24% vs. 4.03 Yesterday W/New Cases Up After 3 Days Of Declines &amp; Resolved Cases Are 12.4% vs. 11.6% 
$aapl $amzn $agn $brk $bhc $ba $cat $f $hlf $iep $crm $cmg $googl $jnj $wfc $bac $ms $gs $jpm $c $cs $msft $fb $tst $qsr $tsla $ko $ibm $pep"
2020-04-15 10:09:33,,257,94,1025,0,"WTI Is Under $20! Great Job Saving US Shale Mr. @POTUS  @realDonaldTrump 

$aapl $amzn $agn $brk $bhc $ba $cat $f $ge $gm $hlf $iep $crm $cmg $googl $jnj $wfc $bac $ms $gs $jpm $c $cs $msft $nflx $fb $tst $qsr $hd $tsla $yelp $grub $ko $ibm $pep $mnst $cat $unh $teva $pfe $cpe https://t.co/XRoDPU0xmB"
2020-04-15 08:50:02,"Sunnyvale, CA",793,2708,535107,0,"$KO enters an Uptrend as Momentum Indicator exceeded the 0 level on April 2, 2020. View odds for this and other indicators: https://t.co/64gPGHhyni #CocaCola #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today https://t.co/ZoAjqN1Jfj"
2020-04-15 08:26:06,Royaume-Uni,1039,261,2695,1,"RT @Andre_Dragosch: Priced in or not priced in? That is the question...

#USA #Economy #Consumer 
$XLP $XLY $AMZN $HD $MCD $PG $KO $WMT htt…"
2020-04-15 08:24:25,"Frankfurt am Main, Deutschland",1630,1216,6872,1,"Priced in or not priced in? That is the question...

#USA #Economy #Consumer 
$XLP $XLY $AMZN $HD $MCD $PG $KO $WMT https://t.co/zHz8xVrp8p"
2020-04-15 04:45:39,"California, USA",23,3694,7574,0,"Tuesday's Top Flow in #consumer staples sector, Buy Flow and Sell Flow. $COST $EL $WMT $PG $CLX $PM $GIS $CL $CPB $KMB $PEP $MDLZ $MO $KO $STZ $K $CVS $TAP $SJM $BF.B #stocks #StockMarket #stockstowatch #StocksToTrade #stock #StockTrading #market #finance 
https://t.co/5JE2nlrW3B https://t.co/YE1a5SiWR0"
2020-04-15 03:37:29,,2,4546,666967,1,RT @clair520: @BrandonVanZee Thx Coach! We are fortunate in $KO City. It was funny I told boys Mommy is off for my evening workout in the b…
2020-04-15 02:56:59,"Atlanta, GA",10947,11037,3471,1,@BrandonVanZee Thx Coach! We are fortunate in $KO City. It was funny I told boys Mommy is off for my evening workout in the basement. 15yrs asked how come you always exercised &amp; Daddy didn't? I said Daddy did yardwork!😅Check out my favorite workout with awesome views!👍 https://t.co/Adoty8VlQP
2020-04-15 01:02:51,,97,3157,1584,0,"@RegularWIGuy Not many companies could possibly claim to be Antifragile based on a strict understanding from Taleb, but $MCD and $KO both are ingrained in the daily habit of millions of consumers. Glad to be Long both."
2020-04-15 00:55:52,Colorado,46,510,427,0,"$msft, $aapl, $baba, $fb, $v, $jnj, $wmt, $jpm, $pg, $ma, $tsm, $intc, $vz, $bac, $t, $mrk, $ko, $pfe, $dis, $csco, $nflx, $xom, $nvda, $vcx, $nke, $crm, $bmy, $mdt,  #stocks, $a, $f #trades, #trader, #TradesAfterWork 

QQQ Above 50 &amp; 200 Day SMA. https://t.co/b0Bxh01kJm https://t.co/5A3nhzMTTb"
2020-04-15 00:45:46,United States,17709,15565,472763,0,"Stock Market Insights | Seeking Alpha...

$KO $MCD - McDonald's And Coca-Cola Don't Look Anti-Fragile To Me. https://t.co/duLTIS7YRR… #economy #finance #stocks https://t.co/wP6Gj0nhop"
2020-04-15 00:44:49,United States,17709,15565,472763,2,RT @SeekingAlpha: $KO $MCD - McDonald's And Coca-Cola Don't Look Anti-Fragile To Me. https://t.co/RBg9Mz35aZ #economy #finance #stocks
2020-04-15 00:37:23,Los Angeles,903,1452,11784,0,"Today WH briefing was sponsored by $YUM, $PZZA, $WEN, $PEP, $KO. https://t.co/lbjy1X7LLo"
2020-04-14 23:47:53,,2,4546,666967,1,RT @RegularWIGuy: $KO $MCD - McDonald's And Coca-Cola Don't Look Anti-Fragile To Me. https://t.co/nSwROfAlD7 - very few people ever write n…
2020-04-14 23:27:24,Ontario,610,454,12568,1,"RT @CBD_beverages: These are stressful times.
Take the edge off while remaining perfectly functional.
Exhale.
$VATE
#CBDcoffee #CBDtea #CBD…"
2020-04-14 22:58:55,,2564,1160,9779,1,$KO $MCD - McDonald's And Coca-Cola Don't Look Anti-Fragile To Me. https://t.co/nSwROfAlD7 - very few people ever write negatively about McDonalds or Coca Cola so I thought it was worth sharing #WallStreet #Investing #Stockmarket
2020-04-14 22:27:02,,257,94,1025,0,"The Commercial Airplanes Are Back In The Air Over My House.

$aapl $amzn $agn $brk $bhc $ba $cat $f $ge $gm $hlf $iep $crm $cmg $googl $jnj $wfc $bac $ms $gs $jpm $c $cs $msft $nflx $fb $tst $qsr $hd $tsla $yelp $grub $ko $ibm $pep $mnst $cat $unh $teva $pfe $dal $ual $luv"
2020-04-14 22:17:10,"Chicago, IL",12,385,5786,0,@ProfectuSystems has a wide variety of trading models to choose from. $MCD $PZZA $DPZ $DRI $CAKE $NDLS $GMCR $KO $PEP
2020-04-14 22:04:47,T.,239,109,2646,0,@PeterTrader99 @SamSharplesMT Let’s get some August $KO 55c I hold until last day though. 🤣🤣🤣
2020-04-14 21:45:05,,2160,413,33432,0,Seven suggestions sugary soda and salty snacks slate a slightly stretched quarantine. #Corvid19 #Covid19 $ko $mnst $mdlz $gis
2020-04-14 21:26:17,,607,331,52,1,RT @DividendSavant: A 6.3% dividend increase for $JNJ makes it $1.01 per quarter. When investing in dividend stocks it’s tempting to chase…
2020-04-14 20:52:16,,19,95,208,0,https://t.co/7UvD0yIpTD After 4/13 massive 400% alert on $AMZN we cooled off a bit! Todays Alerts! $XOM $GOOGL $MGM $APA $AAL $ALGN $MSFT $F $UAA $SE $SFIX $XLF $CCL $XAN $NYMT $BABA $MCD $LOW $HD $V $MA $WMT $SNAP $GM $F $GLD $SLV $JNUG $NUGT $MU $AMD $NVDA $TSLA $GOOG $KO $C https://t.co/UeCcH47MgF
2020-04-14 20:34:40,"Philadelphia, PA",9,3480,74312,0,Largest $Notional Buy On Close Order Imbalances $VZ $JNJ $V $MRK $KO $CCI $PG $MCD $CL $WM https://t.co/V7Aciy2vFa
2020-04-14 20:30:33,,103,26,85,0,$KO $MCD - McDonald's And Coca-Cola Don't Look Anti-Fragile To Me. https://t.co/xkvFmtxrOj
2020-04-14 20:29:07,The Netherlands,750,1032,185466,2,RT @SeekingAlpha: $KO $MCD - McDonald's And Coca-Cola Don't Look Anti-Fragile To Me. https://t.co/RBg9Mz35aZ #economy #finance #stocks
2020-04-14 20:16:13,,65,130577,715841,2,$KO $MCD - McDonald's And Coca-Cola Don't Look Anti-Fragile To Me. https://t.co/RBg9Mz35aZ #economy #finance #stocks
2020-04-14 20:08:20,,215,90,246,2,"RT @phoenixvalue: $XLP $SPY Interesting read from Fayez Sarofim &amp; Co. published Q2 2009, making the case for consumer staples stocks as gre…"
2020-04-14 20:05:52,United States,564,1251,2187,2,"$XLP $SPY Interesting read from Fayez Sarofim &amp; Co. published Q2 2009, making the case for consumer staples stocks as great long-term investments. Specifically mentions $KO $PEP $PG $NSRGY $PM $MO 

https://t.co/srGUhbOFHF"
2020-04-14 19:46:38,,257,94,1025,0,"#Pepsico CFO Said This But Q1 Earnings Estimates Have Been Lowered. We'll See! 

$aapl $amzn $agn $brk $bhc $ba $cat $f $ge $gm $hlf $iep $crm $cmg $googl $jnj $wfc $bac $ms $gs $jpm $c $cs $msft $nflx $fb $tst $qsr $hd $tsla $yelp $grub $ko $ibm $pep $mnst $cat $unh $teva $pfe https://t.co/qAmC0sR2I3"
2020-04-14 19:39:09,,49,21,289,0,$ko loving this https://t.co/CVOrd48YTn
2020-04-14 19:38:39,,53,769,513,0,"@jpfhead Yes, obviously, but there does seem to be a general sense that $AMZN is a ""risky"" stock vs say, $KO or $MCD or w/e. Remember when everyone was surprised when Berkshire bought some Amazon?"
2020-04-14 19:36:03,Chicago,447,4052,7461,0,"Added new long $KHC and sold my first bit of $KO. I said I wouldnt until $50 but above $48 we took off a small piece. Coke remains our biggest long. Slightly BELOW AVG MARKET LONG. I think we will get back to $SPX 3,000 but I won’t be super long if I’m right. Prudent move up here"
2020-04-14 19:23:05,,257,94,1025,0,"It's On Now! 

$aapl $amzn $agn $brk $bhc $ba $cat $f $ge $gm $hlf $iep $crm $cmg $googl $jnj $wfc $bac $ms $gs $jpm $c $cs $msft $nflx $fb $tst $qsr $hd $tsla $yelp $grub $ko $ibm $pep $mnst $cat $unh $teva $pfe https://t.co/1pkX3nLF4k"
2020-04-14 19:19:25,Ontario,610,454,12568,1,"RT @CBD_beverages: Time to buy more $VATE before it takes off for good.
#CBDcoffee #CBDtea #CBDicedcoffee #CBDicedtea #Hempcoffee #Hemptea…"
2020-04-14 19:14:17,"Montana, USA",297,92,369,0,@PeterTrader99 I've traded May 1 $KO $50 C a handful of times over the past couple days. Keep making money on it 🤷‍♂️
2020-04-14 19:05:03,,257,94,1025,0,"I'd Love To See 3Yrs. Of #Allergan BOD Minutes On Fraud Allegations To SOX Cert.

$aapl $amzn $agn $brk $bhc $ba $cat $f $ge $gm $hlf $iep $crm $cmg $googl $jnj $wfc $bac $ms $gs $jpm $c $cs $msft $nflx $fb $tst $qsr $hd $tsla $abbv $grub $ko $ibm $pep $mnst $cat $unh $teva $pfe"
2020-04-14 18:59:11,,257,94,1025,0,"Truest Tweet Today

$aapl $amzn $agn $brk $bhc $ba $cat $f $ge $gm $hlf $iep $crm $cmg $googl $jnj $wfc $bac $ms $gs $jpm $c $cs $msft $nflx $fb $twtr $tst $qsr $hd $tsla $yelp $grub $ko $ibm $pep $mnst $cat $unh $pypl $sq $mcd $intc $ https://t.co/T9AVivsUCE"
2020-04-14 18:58:16,,1107,510,516,1,"Time to buy more $VATE before it takes off for good.
#CBDcoffee #CBDtea #CBDicedcoffee #CBDicedtea #Hempcoffee #Hemptea

$SBUX $KDP $BUD $KO $PEP $HEINY $TAP $NSRGY
$KHC $MDLZ $GIS $STZ https://t.co/IOW68kGP07"
2020-04-14 18:45:10,,257,94,1025,0,"Has Anyone Seen The $AGN Feed Lately? Check It Out But Don't Be Surprised! 

$aapl $amzn $agn $brk $bhc $ba $cat $f $ge $gm $hlf $iep $crm $cmg $googl $jnj $wfc $bac $ms $gs $jpm $c $cs $msft $nflx $fb $tst $qsr $hd $tsla $yelp $grub $ko $ibm $pep $mnst $cat $unh $teva $pfe https://t.co/YEzpD0yGn1"
2020-04-14 18:35:04,"Germantown, Tennessee",11821,12523,29399,0,"#estate assets - large caps of Tuesday trading - $TSLA $AMZN $AAPL $MSFT $NFLX $BA $AMD $JPM $NVDA $FB $GOOGL $BABA $GOOG $ROKU $DIS $BAC $WFC $ZM $C $SHOP $JNJ $MA $DAL $V $RCL $XOM $WMT $INTC $BRK $MU $COST $SQ $CCL $PG $UBER $UNH $KO
https://t.co/8ejpnQsLds"
2020-04-14 18:21:52,,257,94,1025,0,"Did China Unleash The Virus With Permission &amp; A Plan? 

$aapl $amzn $agn $brk $bhc $ba $cat $f $ge $gm $hlf $iep $crm $cmg $googl $jnj $wfc $bac $ms $gs $jpm $c $cs $msft $nflx $fb $tst $qsr $hd $tsla $yelp $grub $ko $ibm $pep $mnst $cat $unh"
2020-04-14 18:17:06,,2,4546,666967,1,"RT @IliketotweettoU: ""Buyers Will Come To Their Senses When They Realize Everything That's Been Told To Them Is A Lie."" Jim Cramer 

$aapl…"
2020-04-14 18:15:50,,257,94,1025,1,"""Buyers Will Come To Their Senses When They Realize Everything That's Been Told To Them Is A Lie."" Jim Cramer 

$aapl $amzn $agn $brk $bhc $ba $cat $ge $gm $hlf $iep $crm $cmg $googl $jnj $wfc $bac $ms $gs $jpm $c $cs $msft $nflx $fb $tst $qsr $hd $tsla $ko $ibm $pep $mnst $cat"
2020-04-14 18:12:57,USA,739,268,210,0,"S&amp;P 500 $SPX Heat Map - 2:11 PM

Financials and Energy down a bit, but mostly green today!

$MFT $GOOGL $APPL $JNJ $AMZN $JPM $WFC $HD $KO https://t.co/QgubdbXnwB"
2020-04-14 18:04:39,"Dark side of moon, Aitken basi",42,2597,45696,0,$KO one more push https://t.co/oxugkQwJK3
2020-04-14 17:49:53,South Africa & Europe,8,58,13346,0,3 Dividend Stocks That Pay You More Than PepsiCo @themotleyfool #stocks $KO $CVX $PEP $O https://t.co/itDzIhEwqa
2020-04-14 17:14:28,,257,94,1025,0,"#Boeing Is In A Jam 

$aapl $amzn $agn $brk $bhc $ba $cat $f $ge $gm $hlf $iep $crm $cmg $googl $jnj $wfc $bac $ms $gs $jpm $c $cs $msft $nflx $fb $tst $qsr $hd $tsla $yelp $grub $ko $ibm $pep $mnst $cat $unh"
