createdAt,location,following,followers,totaltweets,retweetcount,text
2020-04-15 13:30:43,,257,94,1026,0,"I Haven't Really Watched Sports For Years. 

$aapl $amzn $agn $brk $bhc $ba $cat $f $ge $gm $hlf $iep $crm $cmg $googl $jnj $wfc $bac $ms $gs $jpm $c $cs $msft $nflx $fb $tst $qsr $hd $tsla $yelp $grub $ko $ibm $pep $mnst $cat $unh $teva $pfe $cpe https://t.co/N3dj9lGlIN"
2020-04-15 13:27:37,"Wall St, NYC",1717,1364,30254,0,RT US Stocks are OVERVALUED by 50-75% as COLOSSAL DEBT are being piled up on government and households and UNPRECEDENTED contraction in global and domestic GDPs $QQQ $MSFT $GOOG $AAPL $AMZN $NFLX $TSLA $FB $NVDA $AVGO $IBM https://t.co/sqxtKntc27
2020-04-15 13:24:10,In the wires,1,2453,275549,0,"In Play: $TFFP, $APDN, $GLOP, $INPX, $CHK, $BIMI, $PLAY, $OBLN  High Uncertainty: $UGAZ, $IBM, $FL"
2020-04-15 13:21:16,,6881,6499,14174,0,#gap down #coronavirus $es_f $AAPL #daytrading #marketprofile #futures $spx $nasdaq $zb_f $nq_f $cl_f $GC_f $amzn $XOM $ibm $googl $AVGO $WFM $cvs $bac $td $WMT $COST $WFC $jnj $GE $GS $tsla $utx $fb $JPM $dis $MCD $mo $NKE $TGT $RHT $V $gc_f https://t.co/9AZrISJrGo
2020-04-15 13:17:15,"Sioux Falls, SD",2127,7443,2586182,0,IBM $IBM PT Lowered to $150.00 https://t.co/9OdNyW6jCs #stocks
2020-04-15 12:53:28,,257,94,1026,0,"Well, I'll Check Back In A Couple Of Days. 

$aapl $amzn $agn $brk $bhc $ba $cat $f $ge $gm $hlf $iep $crm $cmg $googl $jnj $wfc $bac $ms $gs $jpm $c $cs $msft $nflx $fb $tst $qsr $hd $tsla $yelp $grub $ko $ibm $pep $mnst $cat $unh $teva $pfe $cpe https://t.co/LbK4oFfHOq"
2020-04-15 12:42:27,"Florida, USA",17,547,611385,0,Credit Suisse Group Trims IBM $IBM Target Price to $150.00 https://t.co/WjY8B6wvN3
2020-04-15 12:40:45,,5,1397,1027149,0,Credit Suisse Group Lowers IBM $IBM Price Target to $150.00 https://t.co/B1ojW78k0g
2020-04-15 12:39:28,,9,529,477490,0,Credit Suisse Group Lowers IBM $IBM Price Target to $150.00 https://t.co/san1fjnXH6
2020-04-15 12:06:56,,257,94,1026,0,"I Can't Vote For Biden Or Trump But Pray For A 1 Term Trump 

$aapl $amzn $agn $brk $bhc $ba $cat $f $ge $gm $hlf $iep $crm $cmg $googl $jnj $wfc $bac $ms $gs $jpm $c $cs $msft $nflx $fb $tst $qsr $hd $tsla $yelp $grub $ko $ibm $pep $mnst $cat $unh $teva $pfe $cpe https://t.co/GA6bVtHCV9"
2020-04-15 12:01:13,,257,94,1026,0,"I Never!!

$aapl $amzn $agn $brk $bhc $ba $cat $f $ge $gm $hlf $iep $crm $cmg $googl $jnj $wfc $bac $ms $gs $jpm $c $cs $msft $nflx $fb $tst $qsr $hd $tsla $yelp $grub $ko $ibm $pep $mnst $cat $unh $teva $pfe $cpe https://t.co/Imz8C0K4w8"
2020-04-15 11:49:42,,257,94,1026,0,"$GS Is Down After Earnings As Tangible BV Shrinks 

$aapl $amzn $agn $brk $bhc $ba $cat $f $ge $gm $hlf $iep $crm $cmg $googl $jnj $wfc $bac $ms $gs $jpm $c $cs $msft $nflx $fb $tst $qsr $hd $tsla $yelp $grub $ko $ibm $pep $mnst $cat $unh $teva $pfe $cpe"
2020-04-15 11:49:06,United States,9,3144,1223,0,"$IBM $TXN $TSLA $AMZN $INTC $T:

As Tech Earnings Get Underway Next Week, Most Analysts Have No Idea How Bad Things …:

https://t.co/LmdSUQQSmf"
