createdAt,location,following,followers,totaltweets,retweetcount,text
2020-04-15 13:41:55,,91,15,206,0,@TAtradesPrivate Managed to stick with $HD out this morning 120% thanks
2020-04-15 13:30:43,,257,94,1026,0,"I Haven't Really Watched Sports For Years. 

$aapl $amzn $agn $brk $bhc $ba $cat $f $ge $gm $hlf $iep $crm $cmg $googl $jnj $wfc $bac $ms $gs $jpm $c $cs $msft $nflx $fb $tst $qsr $hd $tsla $yelp $grub $ko $ibm $pep $mnst $cat $unh $teva $pfe $cpe https://t.co/N3dj9lGlIN"
2020-04-15 13:07:53,"Sacramento, CA",1762,1135,17712,0,"Winners and losers from the retail sales report...
https://t.co/lObjFeT2B0 $KSS, $JWN, $M, $KR, $TGT, $WMT, $SFM, $IMKTA, $WMK, $NGVC, $HD, $LOW, $AMZN, $KSS, $JWN, $M, $JCP, $KR, $TGT, $WMT, $SFM, $IMKTA, $WMK, $NGVC, $HD, $LOW, $AMZN, $XRT"
2020-04-15 12:53:28,,257,94,1026,0,"Well, I'll Check Back In A Couple Of Days. 

$aapl $amzn $agn $brk $bhc $ba $cat $f $ge $gm $hlf $iep $crm $cmg $googl $jnj $wfc $bac $ms $gs $jpm $c $cs $msft $nflx $fb $tst $qsr $hd $tsla $yelp $grub $ko $ibm $pep $mnst $cat $unh $teva $pfe $cpe https://t.co/LbK4oFfHOq"
2020-04-15 12:28:57,NY | TX,771,52,745,0,"@ycharts Wow. No idea what could be green on the year but I’m gonna take a stab and say. 

$HD / $SMG"
2020-04-15 12:06:56,,257,94,1026,0,"I Can't Vote For Biden Or Trump But Pray For A 1 Term Trump 

$aapl $amzn $agn $brk $bhc $ba $cat $f $ge $gm $hlf $iep $crm $cmg $googl $jnj $wfc $bac $ms $gs $jpm $c $cs $msft $nflx $fb $tst $qsr $hd $tsla $yelp $grub $ko $ibm $pep $mnst $cat $unh $teva $pfe $cpe https://t.co/GA6bVtHCV9"
2020-04-15 12:01:13,,257,94,1026,0,"I Never!!

$aapl $amzn $agn $brk $bhc $ba $cat $f $ge $gm $hlf $iep $crm $cmg $googl $jnj $wfc $bac $ms $gs $jpm $c $cs $msft $nflx $fb $tst $qsr $hd $tsla $yelp $grub $ko $ibm $pep $mnst $cat $unh $teva $pfe $cpe https://t.co/Imz8C0K4w8"
2020-04-15 11:49:42,,257,94,1026,0,"$GS Is Down After Earnings As Tangible BV Shrinks 

$aapl $amzn $agn $brk $bhc $ba $cat $f $ge $gm $hlf $iep $crm $cmg $googl $jnj $wfc $bac $ms $gs $jpm $c $cs $msft $nflx $fb $tst $qsr $hd $tsla $yelp $grub $ko $ibm $pep $mnst $cat $unh $teva $pfe $cpe"
2020-04-15 11:44:54,"New York, NY",2,398,347,4,"RT @JustinPulitzer: 💥Mid-Week Review VIDEO 4/15: https://t.co/ArJDdYHGVy

$VIX $VVIX $ES_F $SPY $UUP $CL_F $XOM $CVX $TLT $HYG $MUB $GLD $N…"
2020-04-15 11:44:41,"New York, NY",254,11491,107942,4,"RT @JustinPulitzer: 💥Mid-Week Review VIDEO 4/15: https://t.co/ArJDdYHGVy

$VIX $VVIX $ES_F $SPY $UUP $CL_F $XOM $CVX $TLT $HYG $MUB $GLD $N…"
