createdAt,location,following,followers,totaltweets,retweetcount,text
2020-04-15 13:49:39,,75,5085,339918,0,Fell Below 50 DMA today: $AVGO $CGNX $SKYY $MDT $MCO $GLPG $EXK $FAST $XLK $LXP $PAAS $OGEN $SMH $NVS $ICE $AUDC $ZIOP $TSEM $CRUS $NKE ... https://t.co/j2lcQPb078
2020-04-15 13:30:31,Miami/London,15,20984,322114,0,"$NKE  Short term pullbacks are expected to remain supported in 3, 7 or 11 swings against $77.17 low for more upside to take place. Don't like selling it #Elliottwave #Trading #Nike"
2020-04-15 13:30:16,Miami/London,15,20984,322114,0,$NKE cycle from March lows is showing 5 swing sequence to the upside favoring more upside to take place towards $93.82-$97.76 area #Elliottwave #Trading #Nike
2020-04-15 13:30:09,Miami/London,15,20984,322114,0,$NKE 1 Hour Chart from 3/20 update presented to members at https://t.co/BGHCdJqUxD Calling for bounce higher to take place  #Elliottwave #Trading #Nike https://t.co/ZnNYkVTqwe
2020-04-15 13:29:52,Miami/London,15,20984,322114,0,Check out the Video analysis on #Nike for more updates https://t.co/PricEDrcqR #Elliottwave #Trading $NKE
2020-04-15 13:29:44,Miami/London,15,20984,322114,0,Elliott Wave View: Nike Rally Expected to Fail https://t.co/ZjtLY6bJfR Chart of the day from 3/10 update. Called for bounce to fail within blue box area for new lows  #Elliottwave #Trading #Nike $NKE https://t.co/OM5B2xxpYl
2020-04-15 13:29:15,Miami/London,15,20984,322114,0,$NKE 1 Hour Chart from 3/05 Post-Market update presented at  https://t.co/BGHCdJqUxD looking for the stock to turn lower #Elliottwave #Trading #Nike https://t.co/v8fd5XssdB
2020-04-15 13:23:26,United States,5011,13588,4703,0,@stoolpresidente @felixgrays $NKE looking bearish. Watch if previous close holds. If not look for some support on the 1 hr around the 200 sma $83.56ish. https://t.co/ZyJ73sNTKh
2020-04-15 13:21:16,,6881,6502,14174,0,#gap down #coronavirus $es_f $AAPL #daytrading #marketprofile #futures $spx $nasdaq $zb_f $nq_f $cl_f $GC_f $amzn $XOM $ibm $googl $AVGO $WFM $cvs $bac $td $WMT $COST $WFC $jnj $GE $GS $tsla $utx $fb $JPM $dis $MCD $mo $NKE $TGT $RHT $V $gc_f https://t.co/9AZrISJrGo
2020-04-15 13:20:34,United States,5011,13588,4703,0,$NKE looking bearish. Watch if previous close holds. If not look for some support on the 1 hr around the 200 sma $83.56ish. https://t.co/PoxwjoSxc6
2020-04-15 13:19:21,Canada,448,123,3261,0,@stoolpresidente Retail sales down 50% Davey. $NKE 📉
2020-04-15 12:44:07,"Toronto, ON, Canada",239,222,313,0,"@EMF_01 $QSR, $NKE, $WN, $L, $KO and $CNQ have already paid but I expect a lot more to come and my first payout from $RIO which I am excited about"
2020-04-15 12:33:32,United States,9,3150,1247,0,"$MSFT $NKE $CSCO $NVDA $LMT:

6 Stocks Aiding Indexes to Exit Bear-Market Territory:

https://t.co/1MgQsrxGex"
2020-04-15 12:31:09,"Andorra la Vieja, Andorra",229,21,286,152,"RT @LuisMiguelValue: El hilo de hilos:

Amazon ( $AMZN ): https://t.co/erOdDNAIJx

Disney ( $DIS ): https://t.co/uLCFyWhevX

Google ( $GOOG…"
2020-04-15 12:17:09,"Chicago, IL",12,385,5788,0,Fundamental Income Generator trading system: https://t.co/POeECWTOhM #fundamental #income $PSX $MON $BUD $UTX $AAPL $BAC $SBUX $NKE
2020-04-15 11:44:54,"New York, NY",2,397,347,4,"RT @JustinPulitzer: 💥Mid-Week Review VIDEO 4/15: https://t.co/ArJDdYHGVy

$VIX $VVIX $ES_F $SPY $UUP $CL_F $XOM $CVX $TLT $HYG $MUB $GLD $N…"
2020-04-15 11:44:41,"New York, NY",254,11491,107942,4,"RT @JustinPulitzer: 💥Mid-Week Review VIDEO 4/15: https://t.co/ArJDdYHGVy

$VIX $VVIX $ES_F $SPY $UUP $CL_F $XOM $CVX $TLT $HYG $MUB $GLD $N…"
2020-04-15 10:00:01,"Madrid, Spain",0,1967,56769,0,"Nike | $NKE

Short to weekly level buy $19

Long or short it with BTC on Trade8: https://t.co/KuR79DMSUU https://t.co/u8cvzK1pjg"
2020-04-15 08:08:59,"Sunnyvale, CA",793,2711,535171,0,"$NKE in Uptrend: price may jump up because it broke its lower Bollinger Band on March 12, 2020. View odds for this and other indicators: https://t.co/JtwmLW1Ry5 #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today https://t.co/beQGIG22vI"
2020-04-15 04:56:12,"Davao City, Philippines",42,242,12451,4,"RT @JustinPulitzer: 💥Mid-Week Review VIDEO 4/15: https://t.co/ArJDdYHGVy

$VIX $VVIX $ES_F $SPY $UUP $CL_F $XOM $CVX $TLT $HYG $MUB $GLD $N…"
2020-04-15 04:44:20,ALWAYS DO YOUR OWN DUE DILIGENCE and READ OUR DISCLAIMERS,47,148,95,0,Is chart bottom finally in for PLIN?Shares rose 3.4%. Recent acquisition implies significantly higher share price moving forward. $TLRY $NKE $NIO $ACB $AMD $GE $BAC $F $AUY $ROKU $SNAP $SINA $MTOR $PTON $LK $BABA $WW $SDC $NVCN $FCAU $AMZN $OIL $GE $AMD $INO $PBR $F $T $OXY $VALE https://t.co/8BIz49FTVy
2020-04-15 04:37:29,"California, USA",23,3693,7580,0,"Tuesday's Top Flow in #consumer discretionary sector, Buy Flow and Sell Flow. $AMZN $NFLX $CCL $ROST $SBUX $LOW $BBY $CMG $NKE $DG $CMCSA $MAR $ORLY $HD $F $MCD $DIS $TJX $DLTR $KSS #stocks #StockMarket #stockstowatch #StocksToTrade #stock #StockTrading https://t.co/5JE2nlrW3B https://t.co/wBVNNV629e"
2020-04-15 04:33:29,"Boston, MA",2222,3582,12359,0,"$WYNN $MGM $OXY $BP $MAR $DIS $NKE $SBUX $BA $CLL

#stocks #stockstobuy #stockstowatch #wynn #mgm #starbucks #carnival #nike #marriott #disney #dis https://t.co/8CWyNxT2tM"
2020-04-15 04:27:12,"New York, NY",1068,397,15524,2,"RT @east_cap: Corporate America to the rescue $NKE

Transforming Nike Air to Help Frontline Healthcare Workers https://t.co/uRn3s7IcAm"
2020-04-15 04:26:55,"New York, NY",25,206,1704,4,"RT @JustinPulitzer: 💥Mid-Week Review VIDEO 4/15: https://t.co/ArJDdYHGVy

$VIX $VVIX $ES_F $SPY $UUP $CL_F $XOM $CVX $TLT $HYG $MUB $GLD $N…"
2020-04-15 03:57:31,"New York, NY",254,11491,107942,4,"💥Mid-Week Review VIDEO 4/15: https://t.co/ArJDdYHGVy

$VIX $VVIX $ES_F $SPY $UUP $CL_F $XOM $CVX $TLT $HYG $MUB $GLD $NEM $DIA $IYT $CSX $JBHT $BA $JNJ $PG $WMT $NKE $HD $W $SMH $MSFT $AMZN $AAPL $NFLX $ROKU $DIS $FB $GOOGL $TSLA $BKNG $EXPE"
2020-04-15 03:17:10,,79,293,740,0,"Longs are about to get their face ripped off.  

This market is screaming Sell. 
$AAPL $NVDA $AVGO $SWKS $FB $BBY $NKE --&gt; All should be sold here. 

You will be able to buy much lower soon. 

This Lockdown is going to last much longer, until June."
2020-04-15 01:55:32,,608,691,17898,2,"RT @east_cap: Corporate America to the rescue $NKE

Transforming Nike Air to Help Frontline Healthcare Workers https://t.co/uRn3s7IcAm"
2020-04-15 01:13:32,,366,2462,3619,2,"Corporate America to the rescue $NKE

Transforming Nike Air to Help Frontline Healthcare Workers https://t.co/uRn3s7IcAm"
2020-04-15 00:57:11,How to Gain a Following ⬇️,25,197,169,4,"RT @jsizzle_0: Stocks to Hop on now for the Long Term. 

$T $28.40
$NKE $67.40
$DIS $85.98
$WYNN $51.10
$PENN $7.52
$MGM $9.11
$AAPL $229.2…"
2020-04-15 00:55:52,Colorado,46,508,427,0,"$msft, $aapl, $baba, $fb, $v, $jnj, $wmt, $jpm, $pg, $ma, $tsm, $intc, $vz, $bac, $t, $mrk, $ko, $pfe, $dis, $csco, $nflx, $xom, $nvda, $vcx, $nke, $crm, $bmy, $mdt,  #stocks, $a, $f #trades, #trader, #TradesAfterWork 

QQQ Above 50 &amp; 200 Day SMA. https://t.co/b0Bxh01kJm https://t.co/5A3nhzMTTb"
2020-04-14 23:53:22,,3201,3994,20951,1,RT @G_krupins: $NKE up about 45% from lows.  Big test here though https://t.co/MRkPNdAiy3
2020-04-14 23:31:10,Indiana,286,7396,4406,1,$NKE up about 45% from lows.  Big test here though https://t.co/MRkPNdAiy3
