createdAt,location,following,followers,totaltweets,retweetcount,text
2020-04-15 14:13:37,Singapore,569,245,2375,0,"$BAC
&gt; Consumer debit/credit spend fell -8.5% QoQ (ouch $V $MA) https://t.co/Frgd2MkODq"
2020-04-15 14:05:35,Singapore,569,245,2375,0,"$C
&gt; Latin America had the steepest fall
&gt; Asia fell mainly due to falling card revenues (again $V $MA impact) from being first into the COVID, but offset by  higher investment revenues https://t.co/CLmoVVvoyJ"
2020-04-15 14:03:30,"Adelaide, South Australia",1376,1022,21010,6,"RT @PekalaLaw: And here we go: 
Illinois Gov Pritzker signs law stopping attempts to collect debts, except child support and alimony.  
#Ch…"
2020-04-15 14:02:18,Oklahoma,271,242,1959,6,"RT @PekalaLaw: And here we go: 
Illinois Gov Pritzker signs law stopping attempts to collect debts, except child support and alimony.  
#Ch…"
2020-04-15 14:01:39,Singapore,569,245,2375,0,"$C
&gt; card revenue -3% QoQ for the group, suggesting impact on $V $MA https://t.co/MdwuuYwOZz"
2020-04-15 13:53:04,,22,138,1590,0,"Stock Alert For V - Visa Inc.
Alert Type: Daily Percent Price Change
Value Hit: -5.08%

#dividend #stocks $V
Visit Custom Stock Alerts https://t.co/Oh8lrYjzJf"
2020-04-15 13:52:08,United States,9,3152,1272,0,"$MA $V:

The Ratings Game: The credit-card giants viewed as the ‘two best companies in the world’ face increasin…:

https://t.co/YcY8fBuXTS"
2020-04-15 13:52:06,/TripTrades/Runners/No$Targets,1515,806,2010,1,RT @KingMidasAu1: $SPOM love the way this is setting back up after bottom. Low floater with mega merger closed. Big fins and news to come a…
2020-04-15 13:51:12,"Ridgeway, SC",1052,578,3379,0,@DougKass @jimcramer @davidfaber @carlquintanilla @realmoney How about $V?
2020-04-15 13:49:51,"Houston, TX",15,10281,29257,0,Added $V calls at $0.94. Averaged at $1.20 now. https://t.co/YtuaO2G2rl
2020-04-15 13:48:27,"Houston, TX",15,10281,29257,0,$V quick break down through that support. More at $166 and $164.50. Waiting to add more. https://t.co/CtTkJ9q1V3
2020-04-15 13:47:08,,962,653,1320,0,$V limit sell to close just hit. fairly slow first 10 mins or so but no complaints! https://t.co/cLXJSMqOGS https://t.co/u87eWao4px
2020-04-15 13:46:48,"Austin, Texas",379,17911,4840,0,"Here is the impact (in points) on the $DJI from some of today’s big movers:
$V -55
$HD -46
$GS -45
$AXP -44
$AAPL -43
$UNH +44
$PG +11
https://t.co/wyfH3UcCAS"
2020-04-15 13:45:52,,962,653,1320,0,$SPY &amp; i'm in $V puts too hoping to close those soon https://t.co/stJb1KghiH
2020-04-15 13:44:00,"London, UK",403,874,1050,0,"@orthereaboot e-commerce spend probably not immune. $JPM merchant processing volume showed e-commerce spend down y/y from March; $BAC mentioned ""card spend for non-essentials declined""; $V had disclosed 4% y/y decline in US payments volume in March (7% for credit cards). https://t.co/6X2vPTmXUM"
2020-04-15 13:36:36,"Houston, TX",15,10281,29257,0,$V daily support here at $168-$168.50 https://t.co/YtuaO2orzN https://t.co/BEu7sCr6nH
2020-04-15 13:35:37,"Houston, TX",15,10281,29257,0,Bought $V April 17th $172.50 calls at $1.40.
2020-04-15 13:33:38,Australia & China,327,697,795,21,"RT @yourMTLbroker: The best and most resilient businesses in the world, in my view:
$VRSN
$V
$SPGI
$ICE
$CME

change my mind."
2020-04-15 13:33:13,"Dallas, TX",2093,149,1971,0,"@yourMTLbroker IMHO, $V and $MA could REALLY surprise to the downside in the next few months. Both are still really expensive - especially on a relative basis - and estimates need to come down. Prefer $FIS, $GPN in Payments.  this is a once-a-generation event for them &amp; cross border biz screwed"
2020-04-15 13:32:30,"Louisville, KY",906,502,17705,0,$V is an outstanding company https://t.co/biwish0tN4
2020-04-15 13:25:00,,373,1502,44418,1,"$SPOM love the way this is setting back up after bottom. Low floater with mega merger closed. Big fins and news to come any time now. Loading more

$xrp $btc $spx $spy $goog $amzn $nvda $alpp $baba $coop $nvax $qcom $tsla $mfst $ctxy $aapl $ba $fb $babe $amd $v $qcom $nflx $bac https://t.co/1WifM9sUOX"
