createdAt,location,following,followers,totaltweets,retweetcount,text
2020-04-15 14:35:37,New York City,10121,9530,33018,1,"RT @NedPagliarulo: $MRK and Samsung Bioepis launching their Herceptin biosimilar today at 15% discount to brand WAC. 

https://t.co/iU0ZX5K…"
2020-04-15 13:38:35,Bronxville,533,158,5957,2,"RT @jonathanrockoff: $MRK launches a Herceptin biosimilar, named Ontruzant, listed at a 15% discount to the branded drug's price https://t.…"
2020-04-15 13:29:01,Mumbai,696,418,958,2,"RT @jonathanrockoff: $MRK launches a Herceptin biosimilar, named Ontruzant, listed at a 15% discount to the branded drug's price https://t.…"
2020-04-15 13:28:17,Panama City Beach ,3435,5296,568,0,"COVID-19 Adult Stem-Cell Trials.
Creative Medical ( $CELZ), a biotechnology company focused on Stem-Cell-Therapy.

#COVID19 #COVID2019 #ChineseVirus19 @realDonaldTrump @VP #DrFauci #CNBC #stocks $T #covid $NVAX $GILD $CYDY $GSK $SNY $MRK $PFE $TGODF $INND
https://t.co/qIXHguH1zl"
2020-04-15 13:25:55,New York,1943,18076,14860,2,"$MRK launches a Herceptin biosimilar, named Ontruzant, listed at a 15% discount to the branded drug's price https://t.co/NYEPsoQSyA $RHHBY"
2020-04-15 13:00:46,,11,18,83,0,"Coronavirus: China looking at using stem cell therapy to treat severe #COVID19 cases
Creative Medical ( $CELZ) a US biotechnology company also focused on Stem-Cell-Therapy

$NVAX $GILD $REGN $CYDY $GSK $SNY $MRK $PFE $MRNA $INO $VXRT $NNVC $COCP $VIR $CTSO
https://t.co/4ZOHjsYZlk"
2020-04-15 13:00:11,,26,87,33,0,"Using Stem Cells To Combat COVID-19 Pneumonia. 
Creative Medical ( $CELZ), a biotechnology company focused on Stem-Cell-Therapy.

#stocks
$NVAX $GILD $REGN $CYDY $GSK $SNY $MRK $PFE $MRNA $INO $T $VXRT $NNVC $COCP $VIR $CTSO $BIXT $NBIO $TGODF $BLEVF $INND
https://t.co/e3UgKaWQ5B"
2020-04-15 12:54:23,,4,193,561,0,$RXMD Progressive Care Inc. Reports Strong February Sales and Leads Efforts to Combat Novel Coronavirus Infections https://t.co/rtgDKrSEs8 $IBB $GILD $NVS $PFE $JNJ $BSX $CELG $MRK $INDU
2020-04-15 12:54:12,,4,193,561,0,"$RXMD Progressive Care Reports Record $32M Revenues, 70% Jump in Gross Profits, Leadership in Contactless Prescription Delivery Accelerating Momentum https://t.co/JHk8fM54lR  $IBB $GILD $NVS $PFE $JNJ $BSX $CELG $MRK   $SPX"
2020-04-15 12:51:53,"Washington, DC",363,2138,3095,1,"$MRK and Samsung Bioepis launching their Herceptin biosimilar today at 15% discount to brand WAC. 

https://t.co/iU0ZX5K7fp

Will join biosimilars from $MYL, $TEVA, $AMGN and $PFE on the market, which have debuted at discounts between 10% and 22%"
2020-04-15 12:37:56,,564,554,8995,0,"$RXMD Progressive Care Doubles March Sales, Successfully Utilizing Its Market Leading Contactless RX Delivery Due to Covid-19 Pandemic https://t.co/hi6f1oKy9q $IBB $GILD $NVS $PFE $JNJ $BSX $CELG $MRK #biotech #Pharmaceutical"
2020-04-15 12:37:36,,564,554,8995,0,"$RXMD Progressive Care Reports Record $32M Revenues, 70% Jump in Gross Profits, Leadership in Contactless Prescription Delivery Accelerating Momentum https://t.co/tY6Q2kvAZZ  $IBB $GILD $NVS $PFE $JNJ $BSX $CELG $MRK   #biotechnology"
2020-04-15 12:37:21,,564,554,8995,0,$RXMD Progressive Care Inc. Reports Strong February Sales and Leads Efforts to Combat Novel Coronavirus Infections https://t.co/WeeARrHqoA $IBB $GILD $NVS $PFE $JNJ $BSX $CELG $MRK #biotech
