createdAt,location,following,followers,totaltweets,retweetcount,text
2020-04-15 14:58:41,"Chicago, IL",929,40142,20856,0,"$GE #GE Looking at lot like the #BA $BA chart

https://t.co/9w4K5T4BO7"
2020-04-15 14:56:48,,168,290,2772,2,RT @KingMidasAu1: $SPOM love the way this is setting back up after bottom. Low floater with mega merger closed. Big fins and news to come a…
2020-04-15 14:52:51,"Ingalls, IN",857,259,1135,0,Added $BA
2020-04-15 14:51:12,subpennies,276,936,690,0,"$BA starter cuz bad news 

https://t.co/tJXgGDXMNz"
2020-04-15 14:50:17,,174,79,4262,0,"$XOM $CVX are the next $RIG $CHK. $WTI is now below $20. Whos traveling and/or driving unless it is essential. $DIS is requesting a bailout for its cruise and themepark.....really? Even with theme parks reopening, traffic will be lite
$SPY $SPX $MLCO $BA $CCL $WYNN $LVS $JPM $GS"
2020-04-15 14:49:59,,53,3,6,49,"RT @TicTocTick: My FREE Trade Plan for 4/15 👇:

1. Look 👀 for shorts below 2836, target 🎯 2661

2. Look for longs above 2836, targets 2870…"
2020-04-15 14:49:04,Cryptouniverse,580,137,3769,1,"RT @MASTERBTCLTC: Boeing $BA 

Dump it https://t.co/CGxkSEYg6a"
2020-04-15 14:48:58,"California, USA",23,3693,7599,0,"Today Top Flow in #StockMarket, Buy Flow and Sell Flow. $AMZN $MSFT $USO $AAPL $GOOGL $JD $AMD $IWM $ZM $GOOG $SPY $TSLA $HYG $BA $QQQ $JNK $JPM $PG $NVDA $BIL #stocks #StockMarket #stockstowatch #StocksToTrade #stock https://t.co/5JE2nlrW3B https://t.co/vcOQLUgwu3"
2020-04-15 14:47:27,"Williamsburg, VA/Jamaica ",510,656,68289,1,"RT @Wheels88Fortune: $TSLA a company that has never been profitable, has less than 0.004 global market share, can’t pay its rent and has la…"
2020-04-15 14:46:46,,174,79,4262,0,"I have too much shorts so I covered $SPY shorts from yesterday but still SHORT and STRONG on $BA $WYNN $LVS $XOM $CVX $MLCO $DIS $CCL $WTI. 
There are hardly any gamblers visiting #macau, looking forward to $WYNN $LVS $MLCO earnings. 

$SPX $JPM $GS $CAT"
2020-04-15 14:44:09,On a mountain somewhere,1558,656,8056,1,"$TSLA a company that has never been profitable, has less than 0.004 global market share, can’t pay its rent and has laid off or fired most of its employees now has a greater market cap than Catepillar $CAT and Boeing $BA COMBINED

$TSLAQ"
2020-04-15 14:43:44,"Virginia Beach, VA",26,60503,55647,0,$BA update exited for 13% https://t.co/FFUF3iKKkb
2020-04-15 14:38:54,,210,262,7904,0,$DJI hitting new lows... 👀 $SPY $SPX $BA
2020-04-15 14:37:57,,276,33,1105,1,"RT @JohnWes78131127: $SPY/ $DXY/ $GLD/ $BTC Incredible YTD Chart! 

$spx $spy $ndx $qqq $eem $iwm $dia $indu $djia $aapl $googl $gld $slv $…"
2020-04-15 14:37:15,,3491,1036,6350,0,Influence attack? #WMD @DoD_IG @DHSOIG @JusticeOIG @USNavy @NATO @UNHumanRights @SecretService @NSAGov @TheJusticeDept $ZN_f @UN @LockheedMartin $LMT @Boeing $BA @northropgrumman
2020-04-15 14:36:57,,138,4730,27596,0,what is wrong with $BA ?
2020-04-15 14:36:56,"Philadelphia, PA",182,35,97,3,"RT @TrendSpider: $BA #BA And this is where it gets interesting 

https://t.co/17AquSa2XC"
2020-04-15 14:36:48,"San Francisco, Bay Area",80,203,784,0,Looking for a long into this 4HR Supply zone on $BA #stocks #swingtrading https://t.co/62uikSPQbW
2020-04-15 14:36:36,,295,10,63,0,It’s truly a beautiful thing to watch longs get raped lololol $BA
2020-04-15 14:36:09,"Scottsdale, AZ",88,63,376,0,"$BA long the 100 strike put, bearish pennant break-out, looking for potential support around 125 🛬 https://t.co/9sggKmPe1V"
2020-04-15 14:35:35,Texas,35,116,5535,3,"RT @TrendSpider: $BA #BA And this is where it gets interesting 

https://t.co/17AquSa2XC"
2020-04-15 14:34:30,Los Angeles,932,410,10171,0,"$BA short working, close at 132.75ish"
2020-04-15 14:34:15,"Florida, USA",6329,6026,13583,2,"RT @MadMraket: $JPM .. $BA .. banks and BA killing $DIA 

Focus in individual names !!"
2020-04-15 14:33:53,,210,262,7904,0,$BA new LOD
2020-04-15 14:33:50,"Virginia Beach, VA",26,60503,55647,0,$BA update April 17 138 Put up 25%. Will exit soon
2020-04-15 14:33:45,"Germantown, Tennessee",11820,12519,29401,0,"#assets - most active options Wednesday - $AAPL $AMD $AMZN $T $AAL $TSLA $BAC $MSFT $AMRN $NFLX $ABT $ACB $BA $DAL $JPM $SPCE $UAL $XOM $ET $DIS $C $FB $NVDA $OXY $WFC $GE $CCL $AMC $ROKU $TWTR $ABBV $F $CZR $AMGN $BABA $SQ $UBER $ZM $GME $AA $MU $WMT 

https://t.co/boldYy7XEF"
2020-04-15 14:33:36,,398,236,2270,0,"Small green day, don't want to sit around today. Been busy, worked all last night and only have gotten a power hour nap in, in the past 2 days. #HealthCareWorkers #HealthcareHeroes #Healthcare #Options #Trading #StockMarket $SPY $AAPL $BA"
2020-04-15 14:33:01,"Virginia Beach, VA",26,60503,55647,0,$BA 30 min update https://t.co/6EFaYDdwY7 https://t.co/DJMmo9n0LV
2020-04-15 14:32:58,,277,665,46232,0,$BA .. do it https://t.co/5a5m4a0wrO
2020-04-15 14:32:55,Planet Earth,259,17632,18253,1,"RT @StockTradersNET: $BA beautifully traded by @MonacoTrader. “As long as a stock is acting right, and the market is right, do not be in a…"
2020-04-15 14:32:16,,9,528,477617,0,Boeing $BA Given a $189.00 Price Target by Goldman Sachs Group Analysts https://t.co/9pdbuPnYsb
2020-04-15 14:31:27,"Baltimore, Maryland ",776,212,6707,0,$BA could get worse! - #BA chart https://t.co/YYc5puR6tw
2020-04-15 14:31:22,United States,326,7048,123506,0,"Out of $JPM and $BA shorts. 

Trimmed $CLX down to a runner size finally. 

Trimmed $NFLX also, down to a runner size. 

Waiting a bit and seeing the action in the indices.

Plan to raise more cash. 86% cash as of now."
2020-04-15 14:30:32,,40,1466,1057228,0,Boeing $BA Given a $189.00 Price Target by Goldman Sachs Group Analysts https://t.co/bRIJZxvt1U
2020-04-15 14:30:28,3D Realm,176,19069,31302,0,"Short $BA

Starters https://t.co/y8sk9GQlMu"
2020-04-15 14:30:26,St. Vincent and the Grenadines,75,850,14493,0,"Still holding my $BA, $PLAY and $MRNA options."
2020-04-15 14:29:57,,295,10,63,0,$ba longs begging for ass rape
2020-04-15 14:29:43,,3491,1036,6350,0,Window selection variation by itself? #WMD @DoD_IG @DHSOIG @JusticeOIG @USNavy @NATO @UNHumanRights @SecretService @NSAGov @TheJusticeDept $ZN_f @UN @LockheedMartin $LMT @Boeing $BA @northropgrumman
2020-04-15 14:29:16,"New York, London",1473,1766,12792,1,"$BA beautifully traded by @MonacoTrader. “As long as a stock is acting right, and the market is right, do not be in a hurry to take profits"" -Jesse-Livermore. Hence proved!! https://t.co/sJy22L41vZ https://t.co/YBfknysPM1"
2020-04-15 14:28:44,,3491,1036,6350,0,SMH influence attacks? #WMD @DoD_IG @DHSOIG @JusticeOIG @USNavy @NATO @UNHumanRights @SecretService @NSAGov @TheJusticeDept $ZN_f @UN @LockheedMartin $LMT @Boeing $BA @northropgrumman
2020-04-15 14:27:34,"California, USA",23,3693,7599,0,#Options Flow Grid Update $BA #OptionsTrading #Boeing Shares Down 4.28% to $134.91. #industrial #Airplane #airplanes #Aerospace #defense #Aircraft #Satellite #Jet #stocks #StockMarket #stockstowatch #StocksToTrade #stock #StockTrading #finance #market https://t.co/5JE2nlrW3B https://t.co/YwAvdy6LiW
2020-04-15 14:27:14,"Chicago, IL",929,40142,20856,3,"$BA #BA And this is where it gets interesting 

https://t.co/17AquSa2XC"
2020-04-15 14:27:11,Hong Kong,73,19,96,0,"$BA Wanted adds in the 139s but pussied out. Chased downwards and had a bad avg as a result, otherwise I would still be holding out for possible low 130s.
$WORX Quick backside scalps on this trappy one. https://t.co/4wgOBWVraX"
2020-04-15 14:26:42,,16,49,54,0,$ba new low
2020-04-15 14:24:37,,260,4937,35338,2,"$JPM .. $BA .. banks and BA killing $DIA 

Focus in individual names !!"
2020-04-15 14:24:33,"Los Angeles, CA",113,531,296,0,"Boomshakalacka!

Will this be the lower low? 

$SPY $SPX $BA $TSLA #ES_F"
2020-04-15 14:24:20,,276,33,1105,1,"$SPY/ $DXY/ $GLD/ $BTC Incredible YTD Chart! 

$spx $spy $ndx $qqq $eem $iwm $dia $indu $djia $aapl $googl $gld $slv $btc $nvda $twtr $oil $tlt $amzn $spce $tsla $bynd $tlry $cgc $acb $baba $tan $xom $ba $docu $zm $grub $gdx $xauusd $dxy $eurusd $uup $hdge $sh $vix $uvxy $tvix https://t.co/LEnS14UEK6"
2020-04-15 14:24:18,"New York, NY",48,20,543,0,@AwesomeTrading haha .. we have been chasing $BA since last Friday !
2020-04-15 14:23:26,,65,130580,715868,1,"$BA $GE - Bet On GE, Not Boeing, If You Believe In An Aviation Recovery. https://t.co/JMj3Uk7jB0 #trading #investing #markets"
2020-04-15 14:21:34,"Anna Maria, FL, Conover, NC",404,11670,36804,0,@Celtic2345 Technical traders in my chatroom are shorting $BA
2020-04-15 14:19:32,Esketit,952,780,15381,0,"up 6% on $BA

if you trailed, take profits on ur own i probably wont update this 🤗 https://t.co/I9CiybZfRM"
2020-04-15 14:19:11,,45,1,12,49,"RT @TicTocTick: My FREE Trade Plan for 4/15 👇:

1. Look 👀 for shorts below 2836, target 🎯 2661

2. Look for longs above 2836, targets 2870…"
2020-04-15 14:18:17,,12,137,195,0,@saletimeonly You’re right I should have listened. Insurance put doing well. We broke down from the channel $BA
2020-04-15 14:17:02,"New York, London",1473,1766,12792,1,RT @MonacoTrader: $BA all covered! It was a good trade. https://t.co/ohkluqan9l
2020-04-15 14:16:41,"Doral, FL",53,45,1690,0,$BA $JPM $SPY PUTS
2020-04-15 14:16:21,"Bakersfield, CA",79,157,5341,0,Short $BA
2020-04-15 14:16:07,"Williamsburg, Brooklyn",20,0,28,0,$BA will buy &lt; $120
2020-04-15 14:15:48,https://www.twitch.tv/ocdecaf,317,1638,91203,2,RT @MonacoTrader: Started $BA short swing position at 159s - Small position and room to add more throughout the day! Target 130s!
2020-04-15 14:14:09,"Michigan, USA",8,75,491,0,$ba slow and steady she falls https://t.co/JqxVEdoLWQ https://t.co/ld0hDgHM8R
2020-04-15 14:13:47,Planet Earth,259,17632,18253,1,$BA all covered! It was a good trade. https://t.co/ohkluqan9l
2020-04-15 14:12:49,"New Jersey, USA",0,7,17,0,"$BA covered half of my hedge ( put options) now to make the rest free...

If it breaks 134, it may go down to 127 next...."
2020-04-15 14:12:39,"Cincinnati, OH",145,51,203,0,"@ottoaio @TradeWithNinja @WallStJesus $BA and $AMT?  How about $BYND?
Or $SPY 290s. Keep feeding crap to your sheep @TradeWithNinja"
2020-04-15 14:11:55,"WallSt, New York, NY",871,110,116,0,one of my trades this morning $BA https://t.co/EkRDsppzt2
2020-04-15 14:11:45,,972,144,734,0,@realwillmeade But wait. $BA had orders canceled and shut production. That should make the stock rally according to the FEDsanity in the markets.
2020-04-15 14:11:00,Everywhere,2490,74712,10579,0,"Tommy O'Brien hosts the 9AM Market News Update for Wednesday on @TFNN and discussed $ES $EUR $YM $VIX $BA and more! #Learntotrade #TFNN #StocksToTrade #WednesdayWisdom #TradingView #financialeducation
https://t.co/nRH3EniIwA https://t.co/V2BvHW21qB"
2020-04-15 14:10:48,Princeton,1243,3151,255991,0,Merge them. Nationalize $BA #my2cents https://t.co/ngnaWL9bii
2020-04-15 14:10:13,"Chicago, IL",27,39051,51729,1,These are almost $8 $BA puts wow https://t.co/QfDZKkqFUT
2020-04-15 14:09:30,,100,346,988,0,$Z puts working.  $BA put spreads as well.
2020-04-15 14:08:53,"Virginia Beach, VA",26,60503,55647,0,Congrats on $BA 45%! https://t.co/00n13C6EKy
2020-04-15 14:07:11,Usa,5641,5155,8748,3,RT @ball82811: $HENC BE ON WATCH FOR FILLINGS ECT PRE MARKET BILLION DOLLAR PRIVATE COMPANY $AYTU $NSPX $TSLA $BA $GM https://t.co/dzekhO3W…
2020-04-15 14:07:06,Usa,5641,5155,8748,3,RT @ball82811: $HENC BOOM ON WATCH FOR FILLINGS PRE MARKET (-) EXT MERGER DETAILS $TSLA $NSPX $SKDI $BA $GM https://t.co/eGNzmx5DCN
2020-04-15 14:05:54,"Virginia Beach, VA",26,60503,55647,0,$BA 30 min view https://t.co/P27qt3z8NP
2020-04-15 14:05:38,,95,264,3707,0,Short $ba. $136.10.
2020-04-15 14:05:14,,69,37,563,0,$ba break off 140 was entry for puts. 134 is next support https://t.co/LPTf4c3ebl
2020-04-15 14:04:59,"Virginia Beach, VA",26,60503,55647,0,$BA update April 17 138 Put up 22%. Will exit today (Took other side)
2020-04-15 14:04:16,Everywhere,2490,74712,10579,0,"Tommy O'Brien hosts the Morning Market Kickoff for Wednesday on @TFNN and discussed $ES $BA $GS $C $TSLA $VIX $CL $XOM and more! #Learntotrade #TFNN #StocksToTrade #TradingView #WednesdayWisdom #financialeducation 
https://t.co/0hBNyikvQK https://t.co/NhjgI5dvYl"
2020-04-15 14:04:09,"Houston, TX",287,420,14156,0,ALl out $BA https://t.co/VLkh9PRYHP
2020-04-15 14:03:57,"California, USA",284,1340,9122,0,10.55 now for $ba from our 6.15 entry
2020-04-15 14:03:21,United States,9,3155,1302,0,"$BA $EADSY $HII $LDOS:

Boeing Q1 Commercial Deliveries Down Y/Y on Lower 737 Demand:

https://t.co/aeBYnOl5tI"
2020-04-15 14:03:05,,143,83,4022,3,RT @CheddarFlow: $BA Jan2021 200 puts for $1.5M in premium. Possible opening position
2020-04-15 14:02:54,Planet Earth,259,17632,18253,0,8/10 $BA covered
2020-04-15 14:02:49,"Houston, TX",287,420,14156,0,$BA loss on calls but made decent on Puts https://t.co/jWoYDQqis0
2020-04-15 14:02:11,,134,845,11382,0,$BA going down
2020-04-15 14:02:08,,19,6,189,0,YOU SHOULD BE RECORDING #CNBC WITH ALL THESE NEGATIVE PREDICTIONS!  THEY WILL BE WORTH GOLD THIS SUMMER!  LOL THEN PEOPLE WILL RELIZE THEY DONT FEED YOU REAL NEWS $BA $AAPL $FB #NYSE #DOWJONES ##CORNONAVIRUS LOL
2020-04-15 14:00:57,,225,401,8673,3,RT @ball82811: $HENC BOOM ON WATCH FOR FILLINGS PRE MARKET (-) EXT MERGER DETAILS $TSLA $NSPX $SKDI $BA $GM https://t.co/eGNzmx5DCN
2020-04-15 13:59:41,Planet Earth,259,17632,18253,0,7/10 $BA covered
2020-04-15 13:59:37,,79,293,742,1,"RT @WeeklyOptions_1: DOW will be down -1000 points today.  

This could get ugly fast. 

$DIA $SPY $BA $WMT"
2020-04-15 13:58:36,,19,6,189,0,TURN OFF #CNBC THEYVE TOLD YOU EVERYTHING THATS NEGATIVE TWICE!  #DOWJONES $BA $FB $AAPL https://t.co/z18z5gxCEX
2020-04-15 13:58:01,Planet Earth,259,17632,18253,0,6/10 $BA covered
2020-04-15 13:57:08,,1,9,97,0,4/15/2020 Stock Watchlist : $DAL $BAC $F $OXY $APHA $JBLU $M $RCL $JPM $BA $XOM $UBER $DIS $PLAY $CVA $TRTX
2020-04-15 13:56:46,,134,845,11382,3,RT @CheddarFlow: $BA Jan2021 200 puts for $1.5M in premium. Possible opening position
2020-04-15 13:56:36,"Williamsburg, VA/Jamaica ",510,656,68289,3,RT @CheddarFlow: $BA Jan2021 200 puts for $1.5M in premium. Possible opening position
2020-04-15 13:55:55,San Francisco,127,8995,14705,3,$BA Jan2021 200 puts for $1.5M in premium. Possible opening position
2020-04-15 13:55:45,"New York, USA",15,12,325,0,Took $BA weekly 125P from 1.4
2020-04-15 13:55:32,,272,729,4740,1,"DOW will be down -1000 points today.  

This could get ugly fast. 

$DIA $SPY $BA $WMT"
2020-04-15 13:54:58,Dallas & Hollywood,169,3364,34186,0,"$BA breakdown, some bigs chasing the short."
2020-04-15 13:54:54,"Virginia Beach, VA",26,60503,55647,0,$BA nibbled on some. Keeping tight leash
2020-04-15 13:54:31,"New Jersey, USA",12,18071,109722,0,$BA if confirms opening range can get hit . 136 last support . Any build under 135 can get super aggressive . 120 becomes macro potential https://t.co/1EfKaJZvDZ
2020-04-15 13:54:26,,18,105,44,0,$BA About to drop in 5 4 3 ... to NLOD
2020-04-15 13:53:35,"Las Vegas, NV",1812,1224,47092,0,"Thinking about buying stock in $AYTU, $BA, $CGC, $MRNA or $RAD ?        https://t.co/9ZH6RDJSQd"
2020-04-15 13:53:30,"Chicago, IL",27,39051,51729,0,$BA puts now $6.50 wow https://t.co/QfDZKkqFUT
2020-04-15 13:52:06,/TripTrades/Runners/No$Targets,1516,806,2012,2,RT @KingMidasAu1: $SPOM love the way this is setting back up after bottom. Low floater with mega merger closed. Big fins and news to come a…
2020-04-15 13:51:53,"New York, NY",61,1425,4545,0,"Gap down #stocks

$GE $F $OXY $HAL $M $XOM $BA $AMRN $FCX $MU 

Scan updates every 5 secs.
#nyse #nasdaq
https://t.co/iKvhDBCHh0"
