createdAt,location,following,followers,totaltweets,retweetcount,text
2020-04-15 16:04:06,"Toronto, Ontario",462,7716,49371,0,@samcgrayson @MidgetCapital @jesusd_martinez Have you read my comments on $DIS?
2020-04-15 16:02:58,,326,1009,52215,0,@MidgetCapital @jesusd_martinez cc: @HedgehogOptions what is your bullish response to this? I am long $DIS with hedged puts for August/September
2020-04-15 16:01:20,,540,116,490,1165,"RT @NorthmanTrader: This is the greatest market ever.
You can furlough your entire workforce of 46,000 &amp; pay them nothing while just keepin…"
2020-04-15 16:00:54,"Notre Dame, IN",1120,2409,57487,1,RT @RichLightShed: Will Disney ending fiscal 2020 at over 3.5x leverage impact their spending plans – both operationally and capital expend…
2020-04-15 15:59:49,NYC,2545,33814,37669,1,"Will Disney ending fiscal 2020 at over 3.5x leverage impact their spending plans – both operationally and capital expenditure wise? Will investment in direct-to-consumer streaming be scaled back?
$DIS https://t.co/jHpXI9zEg7"
2020-04-15 15:59:39,,125,51,156,0,"bought my sister a small share in $DIS for her 10th tomorrow and once this pandemic is over, she’ll be able to sell that share and spend it on whatever she likes at the Disney store https://t.co/VBkfe6O7j7"
2020-04-15 15:56:04,SEE DISCLAIMERS INVEST WISELY,18,51,99,0,"PLIN green ✅ +3.8% in early trading on a red day. Recent acquisition implies higher valuation &amp; chart looks “bottomed out” at these levels. $MRO $CSCO $SLB $ITUB $JPM $INTC $DIS $C $EPD $CZR $FB $NLY $VZ $CCL $SNAP $S $ABEV $HAL $MU $DAL $KMI $GOLD $FCX $PLUG $JD
$MRO $APRN $NIO https://t.co/K5CEzlY1ZR"
2020-04-15 15:50:13,,2040,2199,47810,0,How Disney+ Has Impacted Netflix's Subscriber Cancellations @themotleyfool #stocks $NFLX $T $DIS $VIAC https://t.co/VxGalGtRcG
2020-04-15 15:49:39,,588,39,420,1165,"RT @NorthmanTrader: This is the greatest market ever.
You can furlough your entire workforce of 46,000 &amp; pay them nothing while just keepin…"
2020-04-15 15:49:27,"Ocean City, MD",156,61,3174,1165,"RT @NorthmanTrader: This is the greatest market ever.
You can furlough your entire workforce of 46,000 &amp; pay them nothing while just keepin…"
2020-04-15 15:48:13,,577,392,15612,0,"@WolfofMStreet @HedgeyeComm @ballmatthew @RichLightShed He knows exactly what he's been doing, I disagreed with him especially when it wasn't convenient in October/November when he was obsessed with the $dis long $nflx short. Oh well, at least I'm not the one losing money off it like he &amp; @MasaSonCap. Not the best look."
2020-04-15 15:46:44,,1645,260,253,1,RT @MidgetCapital: Bearish on $DIS. ESPN and parks gonna take a hit. Streaming wars will destroy value of their content. Poor earnings qual…
2020-04-15 15:45:53,,750,423,178,0,$nflx is more valuable than $dis right now
2020-04-15 15:44:15,,800,78,811,0,"$DIS
The house of mouse is lost today. 
I know where it’s going. https://t.co/dVpzEGU5Os"
2020-04-15 15:42:30,,29,46,235,1,"Bearish on $DIS. ESPN and parks gonna take a hit. Streaming wars will destroy value of their content. Poor earnings quality. 

#bearish #disney"
2020-04-15 15:41:43,Prague,375,286,6825,1165,"RT @NorthmanTrader: This is the greatest market ever.
You can furlough your entire workforce of 46,000 &amp; pay them nothing while just keepin…"
2020-04-15 15:39:45,Toronto,140,45,566,0,@TrueBubbleHead $DIS and $SQ. Thank you!
2020-04-15 15:39:26,"New York, NY",0,2,7,0,"Wondering what's gonna happen to Zoom (@zoom_us, $ZM) after the quarantine? Here's the answer.

https://t.co/l7LMGWMvZE

$MAR $AAPL $SBUX $NFLX $DIS $IBM $MSFT $AMZN $WMT $CAT $BA $LYFT $UBER $ZM $T $NTLX $TSLA"
2020-04-15 15:38:12,,273,21,175,1165,"RT @NorthmanTrader: This is the greatest market ever.
You can furlough your entire workforce of 46,000 &amp; pay them nothing while just keepin…"
2020-04-15 15:37:37,NYC,2545,33814,37669,0,"If you are Disney and you think Mulan or Black Widow could have done $1-$2 billion in global box office pre-COVID-19, do you even put those films out until consumers are truly comfortable going back to theaters in mass numbers? $DIS 
https://t.co/jHpXI9zEg7"
