createdAt,location,following,followers,totaltweets,retweetcount,text
2020-04-15 15:20:07,Worldwide,39,4862,280495,0,"The Travelers Co, $TRV, is down 5% - https://t.co/3KmalPseQV"
2020-04-15 14:34:18,United States,9,3161,1348,0,"$TRV $RLI $PGR $BRO:

Progressive (PGR) Q1 Earnings Lag Estimates, Revenues Rise Y/Y:

https://t.co/0guAUWTcRp"
2020-04-15 10:29:30,"Sunnyvale, CA",793,2718,535364,0,$TRV in Uptrend: RSI indicator exits oversold zone. View odds for this and other indicators: https://t.co/2c0hJgsako #TravelersCompanies #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today https://t.co/qLcVx1dh3v
2020-04-15 08:50:07,"California, USA",23,3694,7615,0,"Tuesday's Top Flow in #Financial Sector, Buy Flow and Sell Flow. $CINF $NDAQ $AXP $HBAN $C $TRV $NTRS $PGR $USB $CB $JPM $BAC $WFC $HST $DFS $ZION $GS $MS $PLD $STT #stocks #StockMarket #stockstowatch #StocksToTrade #stock #StockTrading #market #finance 
https://t.co/5JE2nlrW3B https://t.co/B0lfH2bhGM"
2020-04-15 05:07:53,,0,94,674,0,"A Beginner’s Guide to Stock Investing. 

On Amazon. 

Link: https://t.co/Nm3L7GmAr4 

$SWKS $SLG $SNA $SO $LUV $SPGI $SWK $SBUX $STT $SRCL $SYK $STI $SIVB $SYMC $SYF $SNPS $SYY $TROW $TTWO $TPR $TGT $TEL $FTI $TXN $TXT $TMO $TIF $TWTR $TJX $TMK $TSS $TSCO $TDG $TRV $TRIP $FOX https://t.co/ODn1cEw980"
2020-04-15 01:00:02,,1207,123,367,0,$C $JPM $MS $BAC $SBNY $GS $ETFC $AMTD $SCHW $WFC $USB $TRV $MET $CME $BK $CB $STT $PNC $NTRS $ALL $MMC $PBCT $COF $FNMA $FMCC $HBAN $FAZ $FAS $HSBC $XLF $MTB $CACI $PFG $FISV $MSFT $AAPL $GOOG $TSLA https://t.co/YDdRMRt9m9
2020-04-14 20:02:16,"Long Island, NY",170,3526,25279,1,"RT @OptionsLocator: Inside Day 4/14:

$AAL
$ACB
$BBBY
$BIG
$CAT
$CVX (double)
$DNKN
$EXPE
$GRUB
$KSS
$LUV
$SDC
$TRV (double)
$UAA
$XLE (dou…"
2020-04-14 20:01:06,"Indiana, United States",37,1335,5988,1,"Inside Day 4/14:

$AAL
$ACB
$BBBY
$BIG
$CAT
$CVX (double)
$DNKN
$EXPE
$GRUB
$KSS
$LUV
$SDC
$TRV (double)
$UAA
$XLE (double)"
2020-04-14 19:03:00,Chicago,3307,23942,380100,0,Upcoming #earnings conference calls https://t.co/K4KO9JYhxN $JNJ $JPM $WFC $BAC $USB $GS $PNC $C $BK $KEY $PM $ISRG $SLB $CFG $RF $TFC $HAL $CMA $PG $FITB $NTRS $TRV $ELS $TECK $CMG $CSL $T $BOKF $KMB $APH
2020-04-14 18:26:27,"Toronto , Canada",262,37,743,3,"RT @permabear_uk: Pete Najarian of https://t.co/wQyU2sojtK has been online shopping...
$C $TRV $FB $AAPL $MU and $LQD @petenajarian https:/…"
2020-04-14 17:31:49,"Boca Raton, FL",3058,2137,2801,3,"RT @permabear_uk: Pete Najarian of https://t.co/wQyU2sojtK has been online shopping...
$C $TRV $FB $AAPL $MU and $LQD @petenajarian https:/…"
